section_id,s_node,e_node,length
0,0,19307,32.388
1,0,1190,224.655
2,1,8600,115.105
3,1,18747,191.892
4,2,8604,118.915
5,3,4,77.19
6,4,15973,272.9
7,5,2200,560.14
8,5,2144,283.215
9,6,14248,321.704
10,6,2201,174.739
11,7,4863,273.962
12,7,19360,139.432
13,8,4864,60.159
14,9,470,307.462
15,9,1953,239.09
16,10,19212,172.699
17,11,12,211.189
18,12,17470,780.344
19,13,14,64.458
20,13,10114,191.077
21,14,16278,111.668
22,15,5257,303.116
23,15,43,202.158
24,16,15,67.076
25,16,19206,45.67
26,17,10116,13.609
27,17,21,86.228
28,17,15554,29.562
29,18,17,73.488
30,18,21192,48.344
31,19,18,29.195
32,19,52,156.672
33,20,13957,102.706
34,21,17121,120.637
35,21,22,107.291
36,22,10117,84.355
37,23,25,172.482
38,23,24,108.851
39,23,27,120.037
40,24,23,108.851
41,24,28,192.002
42,24,35,113.207
43,25,26,95.325
44,25,10394,74.55
45,26,36,178.873
46,26,27,174.403
47,27,15852,105.069
48,27,23,120.037
49,28,25,51.204
50,29,30,29.393
51,29,33,374.004
52,30,23,385.52
53,31,32,480.516
54,31,19777,23.911
55,32,34,48.629
56,33,29,374.004
57,33,34,105.404
58,34,5354,106.623
59,34,16,110.236
60,35,24,113.207
61,35,19163,249.639
62,35,30,240.943
63,36,639,135.533
64,36,14847,69.728
65,37,15560,26.394
66,37,13969,26.459
67,38,14,86.208
68,39,38,85.186
69,39,13968,133.518
70,40,37,23.19
71,41,3493,100.89
72,41,10302,47.674
73,42,20472,106.283
74,42,19776,155.872
75,42,8108,51.326
76,43,16472,160.78
77,44,15367,98.92
78,44,15369,142.525
79,45,20341,80.424
80,45,44,58.189
81,46,47,101.356
82,46,20341,21.996
83,47,48,56.049
84,47,51,106.439
85,48,8827,114.707
86,48,15547,85.709
87,49,44,209.843
88,49,50,172.689
89,50,16272,113.035
90,50,657,196.165
91,51,3387,100.899
92,52,16658,14.884
93,52,15547,163.209
94,53,56,252.475
95,53,54,122.133
96,54,49,47.207
97,54,61,199.791
98,55,56,93.67
99,55,49,266.747
100,56,2189,140.929
101,56,57,135.969
102,57,5027,141.555
103,57,69,88.94
104,57,58,249.616
105,58,53,91.567
106,59,58,84.382
107,59,573,65.407
108,60,53,225.829
109,60,61,94.252
110,61,50,81.548
111,62,60,15.265
112,63,64,131.757
113,63,14852,64.721
114,64,63,131.757
115,64,4143,203.676
116,65,64,143.751
117,65,55,151.744
118,66,67,184.452
119,66,64,78.699
120,67,19205,15.096
121,67,649,143.055
122,68,17910,45.8
123,68,739,187.034
124,69,14977,207.429
125,69,14975,179.818
126,70,69,138.733
127,71,5,235.167
128,72,99,217.641
129,72,73,284.471
130,73,16578,319.882
131,74,99,455.931
132,74,16576,151.715
133,75,590,738.943
134,75,2184,147.564
135,76,77,1397.839
136,77,86,211.259
137,77,1,175.207
138,78,5333,1104.387
139,79,18431,232.04
140,79,80,154.523
141,80,545,368.62
142,81,308,524.895
143,82,11984,892.259
144,83,306,546.055
145,83,18261,248.061
146,84,20532,228.089
147,84,859,189.663
148,85,858,1127.118
149,86,79,63.202
150,87,17953,178.096
151,88,11976,337.235
152,88,85,629.513
153,89,2331,112.655
154,90,101,239.913
155,90,17218,168.36
156,91,8178,390.352
157,92,1556,13.203
158,92,15975,112.707
159,93,409,170.15
160,94,110,292.168
161,94,97,201.29
162,95,410,253.58
163,96,13207,56.245
164,97,96,262.135
165,97,410,230.274
166,98,95,158.066
167,98,17362,157.616
168,99,101,782.115
169,100,16576,431.345
170,100,73,277.204
171,101,102,324.558
172,102,8177,1376.034
173,103,1252,620.259
174,103,17480,209.61
175,104,11980,519.451
176,104,8179,963.414
177,105,89,330.313
178,105,106,371.416
179,106,418,309.819
180,106,100,833.73
181,107,105,994.914
182,108,107,232.961
183,109,8175,346.018
184,109,1252,437.322
185,110,1227,243.405
186,111,11971,337.664
187,112,15626,93.328
188,112,801,35.788
189,113,7211,23.044
190,113,135,89.404
191,113,19757,24.666
192,113,114,53.018
193,114,115,33.164
194,114,19756,55.811
195,114,113,53.018
196,115,114,33.164
197,115,148,68.218
198,115,116,83.76
199,116,131,21.844
200,116,117,155.418
201,116,115,83.76
202,117,118,177.38
203,117,125,150.013
204,117,129,164.451
205,117,116,155.418
206,118,119,78.252
207,118,117,177.38
208,118,969,106.379
209,118,125,138.21
210,119,18560,10.845
211,119,118,78.252
212,119,968,119.456
213,120,18560,233.187
214,121,1021,54.094
215,121,1019,30.067
216,121,19754,168.39
217,121,141,262.426
218,122,7211,302.432
219,122,167,96.579
220,122,4986,77.81
221,123,124,46.384
222,123,178,47.496
223,123,150,64.599
224,123,176,253.83
225,124,970,18.53
226,124,123,46.384
227,124,19146,156.152
228,125,117,150.013
229,125,970,47.986
