section_id,s_node,e_node,length,direction
0,0,19307,32.388,1
1,0,1190,224.655,1
2,1,8600,115.105,1
3,1,18747,191.892,1
4,2,8604,118.915,1
5,3,4,77.19,1
6,4,15973,272.9,1
7,5,2200,560.14,1
8,5,2144,283.215,1
9,6,14248,321.704,1
10,6,2201,174.739,1
11,7,4863,273.962,1
12,7,19360,139.432,1
13,8,4864,60.159,1
14,9,470,307.462,1
15,9,1953,239.09,1
16,10,19212,172.699,1
17,11,12,211.189,1
18,12,17470,780.344,1
19,13,14,64.458,1
20,13,10114,191.077,1
21,14,16278,111.668,1
22,15,5257,303.116,1
23,15,43,202.158,1
24,16,15,67.076,1
25,16,19206,45.67,1
26,17,10116,13.609,1
27,17,21,86.228,1
28,17,15554,29.562,1
29,18,17,73.488,1
30,18,21192,48.344,1
31,19,18,29.195,1
32,19,52,156.672,1
33,20,13957,102.706,1
34,21,17121,120.637,1
35,21,22,107.291,1
36,22,10117,84.355,1
37,23,25,172.482,1
38,23,24,108.851,1
39,23,27,120.037,1
40,24,23,108.851,1
41,24,28,192.002,1
42,24,35,113.207,1
43,25,26,95.325,1
44,25,10394,74.55,1
45,26,36,178.873,1
46,26,27,174.403,1
47,27,15852,105.069,1
48,27,23,120.037,1
49,28,25,51.204,1
50,29,30,29.393,1
51,29,33,374.004,1
52,30,23,385.52,1
53,31,32,480.516,1
54,31,19777,23.911,1
55,32,34,48.629,1
56,33,29,374.004,1
57,33,34,105.404,1
58,34,5354,106.623,1
59,34,16,110.236,1
60,35,24,113.207,1
61,35,19163,249.639,1
62,35,30,240.943,1
63,36,639,135.533,1
64,36,14847,69.728,1
65,37,15560,26.394,1
66,37,13969,26.459,1
67,38,14,86.208,1
68,39,38,85.186,1
69,39,13968,133.518,1
70,40,37,23.19,1
71,41,3493,100.89,1
72,41,10302,47.674,1
73,42,20472,106.283,1
74,42,19776,155.872,1
75,42,8108,51.326,1
76,43,16472,160.78,1
77,44,15367,98.92,1
78,44,15369,142.525,1
79,45,20341,80.424,1
80,45,44,58.189,1
81,46,47,101.356,1
82,46,20341,21.996,1
83,47,48,56.049,1
84,47,51,106.439,1
85,48,8827,114.707,1
86,48,15547,85.709,1
87,49,44,209.843,1
88,49,50,172.689,1
89,50,16272,113.035,1
90,50,657,196.165,1
91,51,3387,100.899,1
92,52,16658,14.884,1
93,52,15547,163.209,1
94,53,56,252.475,1
95,53,54,122.133,1
96,54,49,47.207,1
97,54,61,199.791,1
98,55,56,93.67,1
99,55,49,266.747,1
100,56,2189,140.929,1
101,56,57,135.969,1
102,57,5027,141.555,1
103,57,69,88.94,1
104,57,58,249.616,1
105,58,53,91.567,1
106,59,58,84.382,1
107,59,573,65.407,1
108,60,53,225.829,1
109,60,61,94.252,1
110,61,50,81.548,1
111,62,60,15.265,1
112,63,64,131.757,1
113,63,14852,64.721,1
114,64,63,131.757,1
115,64,4143,203.676,1
116,65,64,143.751,1
117,65,55,151.744,1
118,66,67,184.452,1
119,66,64,78.699,1
120,67,19205,15.096,1
121,67,649,143.055,1
122,68,17910,45.8,1
123,68,739,187.034,1
124,69,14977,207.429,1
125,69,14975,179.818,1
126,70,69,138.733,1
127,71,5,235.167,1
128,72,99,217.641,1
129,72,73,284.471,1
130,73,16578,319.882,1
131,74,99,455.931,1
132,74,16576,151.715,1
133,75,590,738.943,1
134,75,2184,147.564,1
135,76,77,1397.839,1
136,77,86,211.259,1
137,77,1,175.207,1
138,78,5333,1104.387,1
139,79,18431,232.04,1
140,79,80,154.523,1
141,80,545,368.62,1
142,81,308,524.895,1
143,82,11984,892.259,1
144,83,306,546.055,1
145,83,18261,248.061,1
146,84,20532,228.089,1
147,84,859,189.663,1
148,85,858,1127.118,1
149,86,79,63.202,1
150,87,17953,178.096,1
151,88,11976,337.235,1
152,88,85,629.513,1
153,89,2331,112.655,1
154,90,101,239.913,1
155,90,17218,168.36,1
156,91,8178,390.352,1
157,92,1556,13.203,1
158,92,15975,112.707,1
159,93,409,170.15,1
160,94,110,292.168,1
161,94,97,201.29,1
162,95,410,253.58,1
163,96,13207,56.245,1
164,97,96,262.135,1
165,97,410,230.274,1
166,98,95,158.066,1
167,98,17362,157.616,1
168,99,101,782.115,1
169,100,16576,431.345,1
170,100,73,277.204,1
171,101,102,324.558,1
172,102,8177,1376.034,1
173,103,1252,620.259,1
174,103,17480,209.61,1
175,104,11980,519.451,1
176,104,8179,963.414,1
177,105,89,330.313,1
178,105,106,371.416,1
179,106,418,309.819,1
180,106,100,833.73,1
181,107,105,994.914,1
182,108,107,232.961,1
183,109,8175,346.018,1
184,109,1252,437.322,1
185,110,1227,243.405,1
186,111,11971,337.664,1
187,112,15626,93.328,1
188,112,801,35.788,1
189,113,7211,23.044,1
190,113,135,89.404,1
191,113,19757,24.666,1
192,113,114,53.018,1
193,114,115,33.164,1
194,114,19756,55.811,1
195,114,113,53.018,1
196,115,114,33.164,1
197,115,148,68.218,1
198,115,116,83.76,1
199,116,131,21.844,1
200,116,117,155.418,1
201,116,115,83.76,1
202,117,118,177.38,1
203,117,125,150.013,1
204,117,129,164.451,1
205,117,116,155.418,1
206,118,119,78.252,1
207,118,117,177.38,1
208,118,969,106.379,1
209,118,125,138.21,1
210,119,18560,10.845,1
211,119,118,78.252,1
212,119,968,119.456,1
213,120,18560,233.187,1
214,121,1021,54.094,1
215,121,1019,30.067,1
216,121,19754,168.39,1
217,121,141,262.426,1
218,122,7211,302.432,1
219,122,167,96.579,1
220,122,4986,77.81,1
221,123,124,46.384,1
222,123,178,47.496,1
223,123,150,64.599,1
224,123,176,253.83,1
225,124,970,18.53,1
226,124,123,46.384,1
227,124,19146,156.152,1
228,125,117,150.013,1
229,125,970,47.986,1
230,125,118,138.21,1
231,126,4858,41.312,1
232,126,20127,27.633,1
233,126,967,213.068,1
234,127,17396,119.01,1
235,127,128,26.331,1
236,127,217,28.304,1
237,127,967,81.373,1
238,128,217,19.241,1
239,128,127,26.331,1
240,128,5001,153.306,1
241,129,19154,28.287,1
242,129,117,164.451,1
243,129,20133,115.477,1
244,129,215,60.34,1
245,130,132,194.926,1
246,130,20133,73.067,1
247,130,131,139.999,1
248,131,5005,31.169,1
249,131,116,21.844,1
250,131,130,139.999,1
251,132,130,194.926,1
252,133,19989,53.298,1
253,133,5008,38.759,1
254,133,1020,260.131,1
255,134,4990,60.838,1
256,134,4987,57.108,1
257,134,4991,101.124,1
258,135,113,89.404,1
259,135,146,215.901,1
260,135,144,91.256,1
261,136,20135,26.824,1
262,136,266,38.084,1
263,137,5274,82.583,1
264,137,1129,48.397,1
265,137,1132,145.723,1
266,137,1133,125.533,1
267,138,19988,36.208,1
268,139,138,61.06,1
269,139,140,49.54,1
270,139,15157,221.569,1
271,140,1019,287.687,1
272,140,1019,300.059,1
273,140,1019,287.618,1
274,140,139,49.54,1
275,141,143,149.187,1
276,141,159,264.163,1
277,141,121,262.426,1
278,141,972,252.75,1
279,142,153,94.465,1
280,142,255,40.777,1
281,143,141,149.187,1
282,143,153,300.358,1
283,143,971,96.667,1
284,144,135,91.256,1
285,145,147,80.528,1
286,145,146,54.258,1
287,145,19146,56.349,1
288,146,4995,19.977,1
289,146,135,215.901,1
290,146,145,54.258,1
291,147,145,80.528,1
292,148,115,68.218,1
293,149,186,61.919,1
294,149,150,122.408,1
295,149,190,73.099,1
296,150,123,64.599,1
297,150,189,32.739,1
298,150,149,122.408,1
299,151,158,25.815,1
300,151,152,25.12,1
301,151,17912,13.98,1
302,152,165,7.211,1
303,152,168,257.397,1
304,152,151,25.12,1
305,153,142,94.465,1
306,153,143,300.358,1
307,154,155,31.33,1
308,154,162,58.769,1
309,154,965,178.037,1
310,155,14516,220.944,1
311,155,154,31.33,1
312,155,156,44.505,1
313,156,14516,260.47,1
314,156,157,154.276,1
315,156,155,44.505,1
316,157,160,166.247,1
317,157,156,154.276,1
318,157,158,210.433,1
319,158,151,25.815,1
320,158,157,210.433,1
321,159,17911,27.385,1
322,159,141,264.163,1
323,159,158,83.007,1
324,160,971,8.451,1
325,160,157,166.247,1
326,160,161,200.381,1
327,161,162,49.884,1
328,161,15078,155.033,1
329,161,160,200.381,1
330,162,154,58.769,1
331,162,963,66.151,1
332,162,161,49.884,1
333,163,164,65.139,1
334,163,166,19.858,1
335,163,165,71.051,1
336,164,163,65.139,1
337,164,19147,68.837,1
338,164,19147,169.001,1
339,165,166,50.478,1
340,165,163,71.051,1
341,166,163,19.858,1
342,166,153,163.587,1
343,167,122,96.579,1
344,168,169,11.282,1
345,168,152,257.397,1
346,168,4999,56.687,1
347,169,168,11.282,1
348,169,19410,96.064,1
349,169,170,57.706,1
350,170,175,51.834,1
351,170,171,76.405,1
352,170,169,57.706,1
353,171,4989,53.33,1
354,171,172,16.76,1
355,171,170,76.405,1
356,172,171,16.76,1
357,172,176,96.213,1
358,172,174,227.343,1
359,173,258,140.377,1
360,173,15039,38.706,1
361,173,174,151.119,1
362,174,19410,56.648,1
363,174,172,227.343,1
364,174,173,151.119,1
365,174,4993,320.759,1
366,175,170,51.834,1
367,176,4993,42.346,1
368,176,123,253.83,1
369,176,172,96.213,1
370,177,181,110.152,1
371,178,123,47.496,1
372,178,187,56.453,1
373,178,181,59.162,1
374,179,182,47.921,1
375,180,185,26.204,1
376,180,183,33.5,1
377,180,182,73.215,1
378,181,178,59.162,1
379,181,182,145.359,1
380,181,177,110.152,1
381,182,179,47.921,1
382,182,181,145.359,1
383,182,180,73.215,1
384,183,180,33.5,1
385,183,19412,48.871,1
386,183,184,207.971,1
387,184,185,165.187,1
388,184,186,45.464,1
389,184,183,207.971,1
390,185,187,58.066,1
391,185,180,26.204,1
392,185,184,165.187,1
393,186,187,155.146,1
394,186,149,61.919,1
395,186,184,45.464,1
