node,lng,lat
0,-8.6406364,41.1660713
1,-8.6420446,41.168347
2,-8.6415867,41.1668853
3,-8.6224058,41.1742319
4,-8.6224443,41.1749254
5,-8.5835683,41.166241
6,-8.5810576,41.1626066
7,-8.5825433,41.1541532
8,-8.5801756,41.1520755
9,-8.5797087,41.1513862
10,-8.5793775,41.1483683
11,-8.580636,41.1472516
12,-8.5811733,41.1454215
13,-8.6140445,41.1499575
14,-8.6148131,41.1499245
15,-8.6120177,41.152994
16,-8.6119957,41.153597
17,-8.6121592,41.1479515
18,-8.6112856,41.147888
19,-8.6109422,41.1478426
20,-8.6121386,41.1488008
21,-8.6121861,41.1471763
22,-8.6133682,41.1475478
23,-8.6210997,41.1507093
24,-8.6212767,41.1516791
25,-8.6230542,41.1502192
26,-8.6229257,41.1493674
27,-8.6208752,41.1496431
28,-8.6231422,41.1506749
29,-8.6180312,41.1524873
30,-8.6179199,41.1522366
31,-8.6188807,41.1551988
32,-8.6133083,41.1541642
33,-8.6135935,41.1528719
34,-8.6132505,41.1537434
35,-8.6207549,41.1526088
36,-8.6226637,41.1477709
37,-8.6203514,41.1474495
38,-8.6149639,41.1491595
39,-8.615614,41.1485895
40,-8.6202036,41.1476258
41,-8.6240719,41.1529176
42,-8.6100477,41.1551976
43,-8.6101425,41.1518487
44,-8.6067378,41.1509254
45,-8.6073894,41.1511073
46,-8.6077498,41.1502271
47,-8.6089109,41.1504849
48,-8.6094208,41.1501627
49,-8.6042501,41.1509449
50,-8.6041093,41.1493955
51,-8.6099839,41.1508997
52,-8.6104496,41.1491992
53,-8.6022297,41.1510098
54,-8.6036864,41.1509525
55,-8.6035241,41.1532611
56,-8.6024055,41.1532765
57,-8.6007815,41.1532733
58,-8.6011373,41.1510477
59,-8.600131,41.1510849
60,-8.6020829,41.1489819
61,-8.6031713,41.1491982
62,-8.6019062,41.1489481
63,-8.6047458,41.1536304
64,-8.604695,41.1548147
65,-8.6030152,41.1545708
66,-8.605549,41.1551062
67,-8.6062294,41.1535512
68,-8.6026294,41.155553
69,-8.5997196,41.1532952
70,-8.5994778,41.1545295
71,-8.586275,41.1667121
72,-8.5938865,41.1713532
73,-8.5970968,41.1717841
74,-8.5980825,41.1714553
75,-8.6187612,41.1737099
76,-8.6248431,41.1732342
77,-8.6400656,41.1687869
78,-8.6402255,41.1684717
79,-8.6424338,41.1670798
80,-8.6438364,41.1661784
81,-8.6473116,41.1583005
82,-8.6426829,41.1517091
83,-8.6408358,41.1497612
84,-8.6257084,41.1149393
85,-8.6105028,41.1116787
86,-8.6418896,41.1674738
87,-8.6053754,41.1085051
88,-8.6048728,41.1081479
89,-8.5945082,41.1815228
90,-8.5920399,41.180349
91,-8.5641783,41.2425202
92,-8.6209585,41.1807558
93,-8.6211293,41.1816016
94,-8.6223813,41.1817809
95,-8.6239494,41.1798161
96,-8.6227193,41.1802837
97,-8.6224076,41.1799712
98,-8.6257879,41.1798037
99,-8.5947195,41.1731101
100,-8.5947981,41.1734158
101,-8.5930012,41.179984
102,-8.5931847,41.1828871
103,-8.5872383,41.1990594
104,-8.5651386,41.2353171
105,-8.5937868,41.1840589
106,-8.593171,41.1807675
107,-8.5923345,41.192382
108,-8.5912507,41.1943031
109,-8.587137,41.1994838
110,-8.6245912,41.1800724
111,-8.601518,41.1273055
112,-8.6381035,41.170477
113,-8.6682248,41.1971414
114,-8.668602,41.1967627
115,-8.6689483,41.1966176
116,-8.669938,41.1966317
117,-8.6714767,41.1973876
118,-8.6733125,41.1981564
119,-8.673889,41.1986975
120,-8.6756905,41.2000948
121,-8.666218,41.1958407
122,-8.666855,41.1997743
123,-8.6716487,41.1996195
124,-8.6717048,41.1992045
125,-8.6717914,41.1986111
126,-8.6751636,41.1899203
127,-8.6772559,41.1916867
128,-8.6771504,41.1919098
129,-8.6731264,41.1966327
130,-8.6715247,41.1960361
131,-8.6699415,41.1964405
132,-8.6706102,41.1944238
133,-8.6684003,41.1927306
134,-8.6688207,41.2004939
135,-8.6689912,41.1976852
136,-8.6701405,41.1926669
137,-8.6608607,41.1940035
138,-8.6678404,41.1924219
139,-8.6672732,41.1927625
140,-8.667114,41.193186
141,-8.6643976,41.1977625
142,-8.6638048,41.2025249
143,-8.6637551,41.1989744
144,-8.670045,41.1975084
145,-8.6691942,41.1994637
146,-8.6685458,41.199473
147,-8.6690824,41.1987444
148,-8.6681844,41.1964561
149,-8.673592,41.2004384
150,-8.6723284,41.1998951
151,-8.6657649,41.2003593
152,-8.6657981,41.2005838
153,-8.6637936,41.2016754
154,-8.6606407,41.2008949
155,-8.6608843,41.2011089
156,-8.6613627,41.2012731
157,-8.6629807,41.2007082
158,-8.6654595,41.2003924
159,-8.6657121,41.1998726
160,-8.6627054,41.1994193
161,-8.6606876,41.2002651
162,-8.6601776,41.2004975
163,-8.6656605,41.2011249
164,-8.6652707,41.201632
165,-8.6657761,41.2006465
166,-8.6654577,41.2010321
167,-8.6668242,41.2006421
168,-8.6675735,41.2020504
169,-8.6677006,41.2020843
170,-8.6683807,41.2021259
171,-8.6691882,41.2018676
172,-8.6692225,41.2020161
173,-8.6664414,41.204378
174,-8.6676294,41.2034523
175,-8.6684243,41.2025909
176,-8.6699636,41.2013593
177,-8.6703211,41.2010474
178,-8.6716343,41.2000465
179,-8.6703211,41.2017384
180,-8.6716499,41.2013115
181,-8.6710082,41.2002938
182,-8.6708619,41.2015964
183,-8.6716586,41.2016127
184,-8.6735986,41.2013635
185,-8.6716615,41.201076
186,-8.6734262,41.2009811
187,-8.6716609,41.2005538
188,-8.6730922,41.2004674
189,-8.6723229,41.2001895
190,-8.6741197,41.1999827
191,-8.6749747,41.2006925
192,-8.6697251,41.1924363
193,-8.6660976,41.1915507
194,-8.6699774,41.1899038
195,-8.6750594,41.18911
196,-8.6757157,41.1880261
197,-8.6757533,41.1878319
198,-8.6757433,41.1874234
199,-8.6760814,41.1870192
200,-8.6770631,41.1866438
201,-8.6757687,41.187144
202,-8.6756279,41.1873061
203,-8.6754304,41.1878439
204,-8.6752977,41.1882517
205,-8.6726774,41.1935787
206,-8.6729317,41.193881
207,-8.674615,41.1950792
208,-8.6725957,41.1941177
209,-8.674313,41.1953434
210,-8.6733115,41.1950225
211,-8.674005,41.1955887
212,-8.6722089,41.1943456
213,-8.6737973,41.195784
214,-8.6717803,41.1945957
215,-8.6734969,41.1961715
216,-8.679327,41.1926869
217,-8.6773797,41.1919228
218,-8.6767405,41.1930293
219,-8.6775582,41.1921667
220,-8.6771222,41.1943276
221,-8.6765436,41.1941068
222,-8.6764144,41.1940272
223,-8.6753027,41.1948239
224,-8.6748426,41.1948763
225,-8.6777026,41.1962297
226,-8.6761318,41.1949312
227,-8.6759801,41.1953485
228,-8.6775738,41.1957711
229,-8.6758465,41.1955965
230,-8.6772688,41.1959673
231,-8.679098,41.1974215
232,-8.6790845,41.197108
233,-8.6790845,41.1966107
234,-8.6789234,41.1964808
235,-8.6784028,41.1961621
236,-8.6779908,41.1961685
237,-8.6740996,41.1955258
238,-8.6775009,41.1969214
239,-8.67663,41.1969603
240,-8.6750372,41.1969145
241,-8.6746509,41.196704
242,-8.6740813,41.1963889
243,-8.6778277,41.1956325
244,-8.6780242,41.196926
245,-8.6774456,41.1962776
246,-8.6751566,41.1959314
247,-8.6773127,41.1977444
248,-8.6773432,41.1969433
249,-8.6767119,41.1977637
250,-8.6762467,41.1972461
251,-8.6763043,41.1974574
252,-8.6631177,41.2034226
253,-8.6637035,41.2032597
254,-8.6635393,41.2030993
255,-8.6636828,41.2028784
256,-8.6646254,41.2033504
257,-8.6641001,41.2030443
258,-8.6651116,41.2036081
259,-8.6579091,41.2039696
260,-8.6640022,41.2029033
261,-8.6639727,41.2032437
262,-8.6771388,41.2103117
263,-8.6756389,41.209641
264,-8.6732137,41.2097849
265,-8.6670648,41.2050055
266,-8.6698403,41.1924271
267,-8.6745037,41.1900299
268,-8.674503,41.1898374
269,-8.6746934,41.1903634
270,-8.6678023,41.2363728
271,-8.6294021,41.1569695
272,-8.6279141,41.1578748
273,-8.6721342,41.1552865
274,-8.6731032,41.154912
275,-8.6723674,41.154823
276,-8.6756822,41.1534242
277,-8.6773006,41.1549514
278,-8.6761166,41.1497859
279,-8.6731276,41.1476677
280,-8.6742868,41.1481
281,-8.6563346,41.1778207
282,-8.6708931,41.1757606
283,-8.6655455,41.1918961
284,-8.6645719,41.1923302
285,-8.6439449,41.1603361
286,-8.6420585,41.1600204
287,-8.6358336,41.1589918
288,-8.658169,41.1607815
289,-8.6880264,41.1681621
290,-8.6884635,41.1683804
291,-8.6885946,41.1673547
292,-8.68815,41.1671451
293,-8.6818903,41.1571219
294,-8.6729308,41.1483484
295,-8.6541346,41.1484224
296,-8.6548132,41.1482725
297,-8.6613495,41.147489
298,-8.6533216,41.1485592
299,-8.6540582,41.1486712
300,-8.6532736,41.1485143
301,-8.6532324,41.1483481
302,-8.6540712,41.1489564
303,-8.6459497,41.148402
304,-8.6375375,41.1483305
305,-8.6359246,41.1481085
306,-8.6355071,41.1509208
307,-8.6336503,41.1510793
308,-8.6449368,41.1539618
309,-8.6337433,41.1474276
310,-8.6328764,41.146954
311,-8.6267551,41.1447585
312,-8.613438,41.1414248
313,-8.6145205,41.1416486
314,-8.6153136,41.1416589
315,-8.6880628,41.1684974
316,-8.6882792,41.1726625
317,-8.6883267,41.1730415
318,-8.688282,41.1731246
319,-8.6884308,41.1736164
320,-8.6889019,41.1747167
321,-8.689151,41.1735769
322,-8.6886988,41.1729125
323,-8.6911853,41.1764537
324,-8.6891266,41.1765964
325,-8.6720372,41.1742724
326,-8.6577885,41.1774721
327,-8.6571291,41.1775647
328,-8.6563058,41.1783009
329,-8.6560048,41.178011
330,-8.6557174,41.1777115
331,-8.6550442,41.1780031
332,-8.655249,41.1783026
333,-8.6552994,41.1783165
334,-8.6568078,41.1787663
335,-8.6499415,41.180645
336,-8.6519825,41.1794714
337,-8.6535509,41.1786955
338,-8.6563727,41.1790288
339,-8.6573695,41.1796033
340,-8.6574452,41.1794889
341,-8.6581699,41.1795319
342,-8.6542056,41.17718
343,-8.6302214,41.1582765
344,-8.6465544,41.1608924
345,-8.6526817,41.1758181
346,-8.6527948,41.1777597
347,-8.6534286,41.1755873
348,-8.6533976,41.1753435
349,-8.6517451,41.1761621
350,-8.6532698,41.1750611
351,-8.6535476,41.1748229
352,-8.6529931,41.1752892
353,-8.6524724,41.1754289
354,-8.6526768,41.1749388
355,-8.652882,41.1749473
356,-8.6510449,41.1762338
357,-8.6513189,41.1764453
358,-8.6516243,41.1766913
359,-8.6440803,41.1686175
360,-8.6437941,41.1686011
361,-8.6371713,41.1645081
362,-8.6395478,41.1653756
363,-8.6403771,41.1658674
364,-8.6400928,41.1660439
365,-8.6405004,41.1656611
366,-8.6470294,41.1821035
367,-8.6461401,41.1826059
368,-8.6422114,41.1842601
369,-8.6134596,41.1831689
370,-8.6113737,41.1837498
371,-8.6095467,41.1844453
372,-8.6073555,41.1845969
373,-8.6055783,41.1842187
374,-8.6034781,41.1837765
375,-8.5833243,41.181023
376,-8.5831314,41.1809304
377,-8.5823907,41.1805609
378,-8.5766111,41.1809001
379,-8.5755391,41.1805735
380,-8.5725586,41.1799678
381,-8.5721963,41.179962
382,-8.5677654,41.1742389
383,-8.5680366,41.1737275
384,-8.567193,41.1715969
385,-8.5701353,41.1702078
386,-8.5705924,41.1697681
387,-8.5708255,41.1683239
388,-8.5702377,41.1675045
389,-8.567845,41.167218
390,-8.5657587,41.1637248
391,-8.5645547,41.1623177
392,-8.5616403,41.1584424
393,-8.5620708,41.1580913
394,-8.5620055,41.157845
395,-8.5615977,41.1576401
396,-8.5610052,41.1581234
397,-8.5614715,41.1584475
398,-8.5587853,41.1561526
399,-8.5483815,41.1505624
400,-8.5470652,41.1446972
401,-8.5389837,41.1371699
402,-8.5355184,41.1339431
403,-8.6185777,41.1822401
404,-8.6193071,41.1817841
405,-8.6219016,41.1806614
406,-8.6409582,41.1839497
407,-8.6416535,41.1843055
408,-8.6462068,41.1827697
409,-8.6224139,41.1827364
410,-8.622481,41.1779013
411,-8.5888345,41.1797965
412,-8.5895612,41.1798615
413,-8.601425,41.1834539
414,-8.6094518,41.1845936
415,-8.6096796,41.1845514
416,-8.6134476,41.1833293
417,-8.617751,41.182741
418,-8.5934728,41.1809453
419,-8.5645865,41.1624857
420,-8.5650895,41.1628187
421,-8.5659462,41.1653438
422,-8.5688101,41.1675895
423,-8.5671192,41.1714021
424,-8.5669955,41.1716827
425,-8.5660818,41.1760635
426,-8.5703125,41.1794677
427,-8.5765633,41.1810177
428,-8.5815274,41.1805552
429,-8.5819868,41.1805876
430,-8.5823903,41.1807415
431,-8.584466,41.1813231
432,-8.5863766,41.1800592
433,-8.6280032,41.1575628
434,-8.6331077,41.16275
435,-8.6334964,41.163241
436,-8.6096627,41.1406576
437,-8.5864628,41.1432353
438,-8.5784099,41.144493
439,-8.6902135,41.2034029
440,-8.6896774,41.2020963
441,-8.6897749,41.2025112
442,-8.6885199,41.2008572
443,-8.6841048,41.1965658
444,-8.6800419,41.1808482
445,-8.6792516,41.1810456
446,-8.6808788,41.1805933
447,-8.6819597,41.1807554
448,-8.6821053,41.1808149
449,-8.6824552,41.1807118
450,-8.6824677,41.1804489
451,-8.6831056,41.1821705
452,-8.6837215,41.1805453
453,-8.6846956,41.1804793
454,-8.6856549,41.1804014
455,-8.6866393,41.1803363
456,-8.687608,41.1802707
457,-8.6885746,41.1802061
458,-8.6895279,41.1799769
459,-8.6875881,41.1801143
460,-8.6866258,41.18019
461,-8.6856412,41.1802594
462,-8.6846815,41.1803328
463,-8.6837094,41.1804033
464,-8.6279082,41.1965322
465,-8.6273274,41.1989572
466,-8.6274638,41.2003327
467,-8.5656998,41.1620435
468,-8.5749686,41.1520715
469,-8.5786264,41.1499065
470,-8.5808614,41.1491995
471,-8.5815075,41.1480176
472,-8.5794325,41.1460615
473,-8.5779888,41.1512331
474,-8.574699,41.1520746
475,-8.5796626,41.146385
476,-8.5812331,41.1475865
477,-8.5798341,41.1495021
478,-8.5791502,41.1462573
479,-8.5792721,41.1462377
480,-8.5793258,41.1458821
481,-8.5791579,41.1458378
482,-8.5788761,41.1460517
483,-8.579047,41.146241
484,-8.5787046,41.1462924
485,-8.5796527,41.1455662
486,-8.6308069,41.1650366
487,-8.6336666,41.1637296
488,-8.6352081,41.1628949
489,-8.6359462,41.1625307
490,-8.6350672,41.1629893
491,-8.6270836,41.1647122
492,-8.6297021,41.1650357
493,-8.5934639,41.1605486
494,-8.5943292,41.1606069
495,-8.5982534,41.1611025
496,-8.60031,41.1613654
497,-8.6016969,41.1615383
498,-8.6068578,41.1621694
499,-8.6092234,41.1624758
500,-8.6111351,41.1627093
501,-8.6126189,41.1628962
502,-8.6207018,41.1639052
503,-8.5829121,41.1776376
504,-8.5845737,41.1743566
505,-8.6893489,41.1784349
506,-8.6776262,41.1522916
507,-8.6797023,41.1545235
508,-8.6783507,41.152985
509,-8.6787639,41.153449
510,-8.678571,41.1528939
511,-8.6755597,41.1494088
512,-8.6758709,41.149878
513,-8.6759929,41.150286
514,-8.6762608,41.1506522
515,-8.6765626,41.1510805
516,-8.674027,41.1478548
517,-8.6733018,41.1486029
518,-8.6741177,41.148261
519,-8.6732279,41.1484969
520,-8.6740414,41.1481592
521,-8.6235745,41.1442647
522,-8.6574557,41.199391
523,-8.6607582,41.1978474
524,-8.6541402,41.1999825
525,-8.653155,41.1819205
526,-8.6455756,41.1567787
527,-8.6480341,41.1549288
528,-8.6454697,41.1573769
529,-8.6455537,41.1576099
530,-8.6452777,41.1576251
531,-8.6452239,41.1578684
532,-8.6452239,41.1579492
533,-8.6451306,41.1582609
534,-8.6480752,41.159638
535,-8.6474427,41.1589957
536,-8.6500167,41.1597645
537,-8.6483137,41.1590659
538,-8.6490693,41.1601343
539,-8.64944,41.1581908
540,-8.6494794,41.1584634
541,-8.6501374,41.1601103
542,-8.6485732,41.1564243
543,-8.64829,41.1644214
544,-8.6491665,41.1644132
545,-8.6475889,41.1644474
546,-8.6489068,41.164332
547,-8.6485605,41.1637503
548,-8.6494904,41.1632676
549,-8.649894,41.1616708
550,-8.6264841,41.1666769
551,-8.6325164,41.1620091
552,-8.62909,41.1636071
553,-8.6274598,41.1635081
554,-8.6248028,41.1633519
555,-8.6208599,41.1627307
556,-8.6278359,41.1758929
557,-8.6276431,41.1751065
558,-8.6267046,41.1732552
559,-8.6254713,41.1684558
560,-8.624661,41.1598804
561,-8.6256211,41.1691499
562,-8.6044477,41.1603666
563,-8.6027699,41.1598906
564,-8.6010628,41.1594394
565,-8.6164669,41.1623639
566,-8.6113729,41.161721
567,-8.6095973,41.1614656
568,-8.607491,41.1610402
569,-8.6052113,41.1605885
570,-8.6040169,41.1618277
571,-8.5946309,41.1563482
572,-8.6004404,41.1494046
573,-8.6002415,41.1505026
574,-8.6122303,41.1580559
575,-8.6126514,41.1573409
576,-8.614101,41.1776249
577,-8.6140974,41.1763742
578,-8.6138847,41.1757348
579,-8.6136855,41.1750581
580,-8.6132806,41.1740298
581,-8.6128402,41.1710753
582,-8.6129333,41.170369
583,-8.6117522,41.167014
584,-8.6109795,41.1649768
585,-8.6127436,41.1718292
586,-8.6126689,41.1748058
587,-8.6141709,41.1746525
588,-8.6140041,41.1741811
589,-8.6127512,41.1742225
590,-8.6100682,41.1741101
591,-8.6057642,41.1714409
592,-8.6074554,41.1730101
593,-8.6069436,41.1728529
594,-8.6056814,41.1731625
595,-8.6053176,41.1725805
596,-8.6039516,41.1713109
597,-8.6029104,41.1713619
598,-8.604757,41.1721787
599,-8.6031044,41.1717809
600,-8.6043711,41.1725769
601,-8.6058176,41.1736115
602,-8.6136826,41.1747962
603,-8.6134644,41.1742324
604,-8.6133064,41.1742443
605,-8.6135149,41.1748731
606,-8.5821775,41.1803973
607,-8.5818418,41.1802754
608,-8.5705712,41.1666721
609,-8.5706385,41.166486
610,-8.570706,41.1658931
611,-8.5712544,41.1648696
612,-8.5728588,41.1631607
613,-8.5759967,41.1616471
614,-8.5764055,41.1613361
615,-8.5792965,41.1597934
616,-8.5805276,41.1593437
617,-8.5806482,41.1593488
618,-8.5829437,41.1588866
619,-8.5859858,41.1576704
620,-8.5938657,41.1560823
621,-8.5645256,41.1671117
622,-8.6502971,41.1537015
623,-8.6507378,41.1533918
624,-8.6516768,41.1524811
625,-8.6559524,41.1517135
626,-8.6573042,41.1511072
627,-8.6606128,41.1505047
628,-8.6628412,41.1504431
629,-8.6693944,41.1524312
630,-8.6498529,41.1541883
631,-8.6502034,41.1540473
632,-8.6438478,41.1544954
633,-8.6271726,41.1523893
634,-8.628743,41.1524782
635,-8.6306176,41.1525836
636,-8.6261136,41.1523141
637,-8.6245762,41.1527713
638,-8.6269552,41.1549825
639,-8.6241792,41.1481991
640,-8.6259533,41.1508542
641,-8.620166,41.1460322
642,-8.617693,41.1463677
643,-8.6135435,41.145891
644,-8.6099838,41.157254
645,-8.6099353,41.1587311
646,-8.6084213,41.1657008
647,-8.6118764,41.1566275
648,-8.6076319,41.155154
649,-8.6079375,41.1535829
650,-8.6076504,41.1554359
651,-8.6076897,41.1567979
652,-8.6071936,41.157594
653,-8.6061414,41.1591748
654,-8.6059452,41.1551925
655,-8.6063294,41.1483178
656,-8.6068069,41.1470247
657,-8.6039313,41.1476365
658,-8.6038217,41.1465342
659,-8.602621,41.1472894
660,-8.6005827,41.1486949
661,-8.6155816,41.1454688
662,-8.6173405,41.1449455
663,-8.615299,41.1427883
664,-8.610926,41.1451899
665,-8.614152,41.1427381
666,-8.6565083,41.1508289
667,-8.6563693,41.1504707
668,-8.656015,41.1504079
669,-8.6562429,41.1511699
670,-8.6564339,41.1514604
671,-8.6482639,41.1553921
672,-8.6480622,41.1549543
673,-8.6486768,41.1549438
674,-8.6490088,41.1547352
675,-8.6484203,41.1550159
676,-8.6414847,41.1514765
677,-8.6406315,41.1513944
678,-8.6356995,41.151081
679,-8.6345618,41.1511466
680,-8.6327321,41.1520394
681,-8.6296436,41.1560838
682,-8.6307303,41.1548092
683,-8.6295076,41.1554844
684,-8.6307169,41.1544924
685,-8.6310274,41.1545682
686,-8.6242502,41.1571135
687,-8.6207729,41.1565309
688,-8.6193259,41.1562894
689,-8.666387,41.1898436
690,-8.6670495,41.189394
691,-8.6669223,41.1897113
692,-8.6624201,41.1920799
693,-8.6651352,41.1916574
694,-8.5866687,41.1669663
695,-8.5875741,41.1685552
696,-8.5878701,41.168833
697,-8.6917581,41.2210721
698,-8.6950196,41.2280013
699,-8.6955858,41.2342026
700,-8.6952972,41.2293036
701,-8.565727,41.2009835
702,-8.6269868,41.2202286
703,-8.6262863,41.2247158
704,-8.6274029,41.2228117
705,-8.6290019,41.1551463
706,-8.6287749,41.1548408
707,-8.6180951,41.1480088
708,-8.6115766,41.1446603
709,-8.6049316,41.1440318
710,-8.6032529,41.1455122
711,-8.6052499,41.1456628
712,-8.6003685,41.1458124
713,-8.5992012,41.1458757
714,-8.5982284,41.1459237
715,-8.5973603,41.145966
716,-8.6019107,41.1464243
717,-8.6019425,41.1468373
718,-8.6043415,41.1462979
719,-8.6015512,41.1472277
720,-8.6001212,41.1477073
721,-8.5984037,41.1483679
722,-8.6243035,41.1590335
723,-8.6208838,41.1555625
724,-8.6190683,41.1552341
725,-8.6079034,41.1601137
726,-8.6091917,41.1573388
727,-8.6086663,41.1602408
728,-8.6116304,41.1606953
729,-8.6081083,41.1574762
730,-8.6113301,41.1572106
731,-8.6066794,41.1583675
732,-8.6083976,41.1589843
733,-8.6075204,41.1586762
734,-8.598815,41.1580162
735,-8.5951646,41.1554504
736,-8.5962965,41.1596389
737,-8.5929468,41.1592871
738,-8.5951923,41.1599841
739,-8.6019875,41.1571641
740,-8.6031655,41.1592624
741,-8.6064353,41.1662568
742,-8.6214111,41.1602505
743,-8.6210694,41.1613323
744,-8.6205905,41.1615483
745,-8.6224235,41.1602408
746,-8.6248537,41.1572559
747,-8.6238899,41.1455931
748,-8.6140966,41.1462121
749,-8.6137484,41.1476349
750,-8.6135865,41.1452361
751,-8.6124637,41.1450421
752,-8.6104165,41.1434984
753,-8.6054819,41.1428869
754,-8.6088096,41.1431966
755,-8.6080191,41.143301
756,-8.6031021,41.1426779
757,-8.6082129,41.1429961
758,-8.6086641,41.1473966
759,-8.5990352,41.1479445
760,-8.5998359,41.1473278
761,-8.6005322,41.146913
762,-8.6005622,41.144771
763,-8.5986182,41.1446592
764,-8.5974536,41.1437543
765,-8.5978882,41.1449772
766,-8.5987301,41.1470588
767,-8.5959522,41.1416032
768,-8.5994978,41.1440088
769,-8.5971492,41.1452903
770,-8.597607,41.146708
771,-8.5964438,41.1430052
772,-8.5961604,41.1457299
773,-8.595135,41.1460553
774,-8.5941609,41.1508292
775,-8.5936079,41.1491401
776,-8.5956944,41.1488005
777,-8.5980591,41.1482596
778,-8.592738,41.1464832
779,-8.5951723,41.1502918
780,-8.5990585,41.1568221
781,-8.6177739,41.2505123
782,-8.6237336,41.2408787
