edge,s_node,e_node,s_lng,s_lat,e_lng,e_lat,c_lng,c_lat
0,0,21318,12.3483586,41.7021122,12.3475152,41.7026342,12.3479369,41.7023732
1,0,6360,12.3483586,41.7021122,12.4170498,41.6566121,12.3827042,41.67936215
2,6360,0,12.4170498,41.6566121,12.3483586,41.7021122,12.3827042,41.67936215
3,37814,0,12.3475307,41.7024943,12.3483586,41.7021122,12.347944649999999,41.70230325
4,1,22232,12.264032,41.7337426,12.2625224,41.7342405,12.263277200000001,41.73399155
5,22232,1,12.2625224,41.7342405,12.264032,41.7337426,12.263277200000001,41.73399155
6,1,21836,12.264032,41.7337426,12.2643126,41.7336502,12.2641723,41.7336964
7,21836,1,12.2643126,41.7336502,12.264032,41.7337426,12.2641723,41.7336964
8,21834,1,12.2643181,41.734212,12.264032,41.7337426,12.26417505,41.7339773
9,21856,2,12.269127,41.7330394,12.2686838,41.7322567,12.2689054,41.73264805
10,2,21856,12.2686838,41.7322567,12.269127,41.7330394,12.2689054,41.73264805
11,2,21831,12.2686838,41.7322567,12.2673382,41.7326903,12.268011,41.7324735
12,21831,2,12.2673382,41.7326903,12.2686838,41.7322567,12.268011,41.7324735
13,21858,2,12.2698355,41.7318856,12.2686838,41.7322567,12.269259649999999,41.732071149999996
14,2,21858,12.2686838,41.7322567,12.2698355,41.7318856,12.269259649999999,41.732071149999996
15,3,22769,12.2857285,41.7267575,12.2854194,41.7268568,12.28557395,41.72680715
16,3,22765,12.2857285,41.7267575,12.2860061,41.7272742,12.2858673,41.72701585
17,22755,3,12.2864045,41.7265338,12.2857285,41.7267575,12.2860665,41.726645649999995
18,4,22804,12.2930693,41.724389,12.2937812,41.7252097,12.29342525,41.72479935
19,22804,4,12.2937812,41.7252097,12.2930693,41.724389,12.29342525,41.72479935
20,4,22783,12.2930693,41.724389,12.29196,41.7247656,12.292514650000001,41.7245773
21,22815,4,12.2927355,41.7238149,12.2930693,41.724389,12.2929024,41.724101950000005
22,22817,4,12.2939923,41.7240945,12.2930693,41.724389,12.2935308,41.724241750000004
23,5,22817,12.295012,41.72378,12.2939923,41.7240945,12.29450215,41.72393725
24,21897,5,12.296285,41.7233214,12.295012,41.72378,12.295648499999999,41.723550700000004
25,5,21897,12.295012,41.72378,12.296285,41.7233214,12.295648499999999,41.723550700000004
26,5,22827,12.295012,41.72378,12.2954908,41.724559,12.2952514,41.7241695
27,22827,5,12.2954908,41.724559,12.295012,41.72378,12.2952514,41.7241695
28,6,22945,12.2968851,41.7230444,12.2995588,41.721843,12.29822195,41.7224437
29,22945,6,12.2995588,41.721843,12.2968851,41.7230444,12.29822195,41.7224437
30,6,22818,12.2968851,41.7230444,12.2972009,41.7237881,12.297043,41.72341625
31,21897,6,12.296285,41.7233214,12.2968851,41.7230444,12.296585050000001,41.7231829
32,6,21897,12.2968851,41.7230444,12.296285,41.7233214,12.296585050000001,41.7231829
33,21342,6,12.296252,41.7222505,12.2968851,41.7230444,12.29656855,41.72264745
34,7,9122,12.3171989,41.714662,12.3174416,41.7144804,12.31732025,41.714571199999995
35,21311,7,12.3176102,41.7149939,12.3171989,41.714662,12.31740455,41.71482795
36,22939,7,12.3106617,41.7166759,12.3171989,41.714662,12.313930299999999,41.715668949999994
37,8,22975,12.32298,41.712044,12.3230287,41.7121111,12.32300435,41.712077550000004
38,22975,8,12.3230287,41.7121111,12.32298,41.712044,12.32300435,41.712077550000004
39,8,21329,12.32298,41.712044,12.326003,41.7108701,12.3244915,41.71145705
40,21324,8,12.3218691,41.7124033,12.32298,41.712044,12.322424550000001,41.71222365
41,9,42650,12.4648844,41.9007319,12.4649395,41.9007732,12.464911950000001,41.90075255
42,9,42651,12.4648844,41.9007319,12.46362,41.9014474,12.4642522,41.90108965
43,16202,9,12.4651284,41.9005518,12.4648844,41.9007319,12.4650064,41.90064185
44,23751,9,12.4647242,41.9006109,12.4648844,41.9007319,12.4648043,41.90067139999999
45,30207,10,12.4664084,41.8995935,12.4665261,41.899504,12.46646725,41.89954875
46,10,30207,12.4665261,41.899504,12.4664084,41.8995935,12.46646725,41.89954875
47,10,3648,12.4665261,41.899504,12.4672807,41.8989284,12.4669034,41.8992162
48,3648,10,12.4672807,41.8989284,12.4665261,41.899504,12.4669034,41.8992162
49,30067,10,12.4664309,41.8994366,12.4665261,41.899504,12.466478500000001,41.899470300000004
50,10,30067,12.4665261,41.899504,12.4664309,41.8994366,12.466478500000001,41.899470300000004
51,11,2921,12.4788676,41.9046697,12.4789222,41.904559,12.4788949,41.90461435
52,2921,11,12.4789222,41.904559,12.4788676,41.9046697,12.4788949,41.90461435
53,2001,11,12.4781961,41.9047136,12.4788676,41.9046697,12.47853185,41.904691650000004
54,12,40404,12.4634563,41.901815,12.4637067,41.9016345,12.4635815,41.90172475
55,41175,12,12.4641569,41.9019884,12.4634563,41.901815,12.463806600000002,41.901901699999996
56,12,41175,12.4634563,41.901815,12.4641569,41.9019884,12.463806600000002,41.901901699999996
57,383,12,12.4619568,41.9016076,12.4634563,41.901815,12.46270655,41.9017113
58,2549,12,12.4629556,41.9022261,12.4634563,41.901815,12.46320595,41.90202055
59,13,23751,12.4642534,41.8997896,12.4647242,41.9006109,12.4644888,41.90020025
60,13,23752,12.4642534,41.8997896,12.4652172,41.8998704,12.464735300000001,41.899829999999994
61,14,13,12.4625957,41.8996836,12.4642534,41.8997896,12.46342455,41.8997366
62,3647,13,12.4644713,41.8990533,12.4642534,41.8997896,12.46436235,41.89942145
63,14,1993,12.4625957,41.8996836,12.4625328,41.8995012,12.46256425,41.8995924
64,381,14,12.4622985,41.8996206,12.4625957,41.8996836,12.462447099999999,41.8996521
65,22405,14,12.4626738,41.899903,12.4625957,41.8996836,12.46263475,41.8997933
66,15,43760,12.4632176,41.9010886,12.4631667,41.9010318,12.463192150000001,41.9010602
67,15,43760,12.4632176,41.9010886,12.4631667,41.9010318,12.463192150000001,41.9010602
68,2557,15,12.4638361,41.9016527,12.4632176,41.9010886,12.463526850000001,41.901370650000004
69,42651,15,12.46362,41.9014474,12.4632176,41.9010886,12.4634188,41.901268
70,16,31802,12.467407,41.9005531,12.4676676,41.9007243,12.4675373,41.9006387
71,16,20,12.467407,41.9005531,12.4684567,41.8991995,12.46793185,41.8998763
72,6006,16,12.4672745,41.9007058,12.467407,41.9005531,12.46734075,41.90062945
73,17,6006,12.4667282,41.9012216,12.4672745,41.9007058,12.46700135,41.9009637
74,17,37984,12.4667282,41.9012216,12.4715989,41.9020984,12.469163550000001,41.90166
75,6007,17,12.4662074,41.9011963,12.4667282,41.9012216,12.4664678,41.90120895
76,18,30067,12.4666911,41.8986561,12.4664309,41.8994366,12.466561,41.89904635
77,32,18,12.4674291,41.8977784,12.4666911,41.8986561,12.467060100000001,41.89821725
78,3648,18,12.4672807,41.8989284,12.4666911,41.8986561,12.466985900000001,41.89879225
79,19,16202,12.4652611,41.9004539,12.4651284,41.9005518,12.465194749999998,41.90050285
80,28441,19,12.4655485,41.900269,12.4652611,41.9004539,12.4654048,41.900361450000005
81,28444,19,12.4655069,41.900219,12.4652611,41.9004539,12.465384,41.90033645
82,20,31692,12.4684567,41.8991995,12.4662455,41.8997658,12.4673511,41.899482649999996
83,21,20,12.4695763,41.8988839,12.4684567,41.8991995,12.4690165,41.8990417
84,21,22,12.4695763,41.8988839,12.4722018,41.8977238,12.47088905,41.898303850000005
