section_id,s_node,e_node,length
0,0,21318,91.16299999999998
1,0,6360,7711.288000000004
2,6360,0,7711.288000000004
3,37814,0,80.993
4,1,22232,136.954
5,22232,1,136.954
6,1,21836,25.798
7,21836,1,28.193
8,21834,1,57.341
9,21856,2,94.484
10,2,21856,94.484
11,2,21831,121.623
12,21831,2,121.623
13,21858,2,104.097
14,2,21858,104.097
15,3,22769,27.927
16,3,22765,61.901
17,22755,3,61.367
18,4,22804,110.149
19,22804,4,110.149
20,4,22783,101.156
21,22815,4,69.59
22,22817,4,83.307
23,5,22817,91.568
24,21897,5,117.455
25,5,21897,117.455
26,5,22827,95.486
27,22827,5,95.486
28,6,22945,259.009
29,22945,6,259.009
30,6,22818,99.21900000000002
31,21897,6,58.559
32,6,21897,58.559
33,21342,6,102.732
34,7,9122,28.523
35,21311,7,50.274
36,22939,7,605.0620000000001
37,8,22975,8.486
38,22975,8,8.486
39,8,21329,282.884
40,21324,8,100.614
41,9,42650,6.472
42,9,42651,143.08599999999998
43,16202,9,28.44
44,23751,9,18.89
45,30207,10,13.926
46,10,30207,13.926
47,10,3648,89.428
48,3648,10,89.428
49,30067,10,10.874
50,10,30067,10.874
51,11,2921,13.112
52,2921,11,13.112
53,2001,11,116.045
54,12,40404,28.85
55,41175,12,61.107
56,12,41175,61.107
57,383,12,126.343
58,2549,12,61.93300000000001
59,13,23751,101.867
60,13,23752,80.277
61,14,13,138.215
62,3647,13,84.85500000000002
63,14,1993,20.97
64,381,14,25.575
65,22405,14,25.24
66,15,43760,7.592
67,15,43760,7.592
68,2557,15,81.03399999999999
69,42651,15,51.993
70,16,31802,39.984
71,16,20,187.83000000000004
72,6006,16,20.213
73,17,6006,73.374
74,17,37984,416.75700000000006
75,6007,17,43.196
76,18,30067,90.478
77,32,18,115.596
78,3648,18,58.28699999999999
79,19,16202,15.464
80,28441,19,31.524
81,28444,19,33.236000000000004
82,20,31692,205.509
83,21,20,104.95900000000002
84,21,22,259.527
85,10731,21,104.095
86,22,21504,296.687
87,22,23,74.15899999999999
88,23,26009,28.47
89,26008,23,40.929
90,24,37,62.906
91,37,24,62.906
92,24,30205,16.834
93,30204,24,24.548
94,26,25,60.746
95,25,26,60.746
96,25,24380,189.91200000000003
97,24380,25,189.91200000000003
98,26001,25,44.403000000000006
99,30336,25,6.253
100,26,10732,17.665
101,10732,26,17.665
102,26,10731,46.666
103,31,26,46.762
104,27,26003,83.015
105,32,27,48.228
106,6018,27,35.216
107,28,29,69.444
108,28,21865,235.404
109,26003,28,10.234
110,29,26000,10.264
111,29,26003,65.488
112,30,29,47.109
113,21866,29,266.682
114,31,30,47.733
115,26002,30,62.633
116,26001,31,63.00399999999999
117,26000,32,58.537
118,21504,33,20.16
119,33,21504,20.16
120,33,26442,56.136
121,26442,33,56.136
122,33,25608,49.78999999999999
123,25608,33,49.78999999999999
124,34,16136,16.3
125,31395,34,27.021
126,34,31395,27.021
127,26016,35,22.028
128,35,26016,22.028
129,35,26017,27.949
130,35,2013,17.525
131,2013,35,17.525
132,36,6176,16.343
133,6176,36,16.343
134,2013,36,97.686
135,36,2013,97.686
136,31702,36,207.029
137,37,26016,13.803
138,26016,37,13.803
139,3566,37,100.437
140,659,38,29.814
141,38,659,29.814
142,38,4941,302.022
143,38,2912,40.596
144,28438,38,130.615
145,38,28438,130.615
146,31812,38,194.237
147,39,40,75.057
148,39,1530,100.73
149,39,26157,71.606
150,284,39,187.165
151,32933,39,53.886
152,32933,39,53.25900000000001
153,40,41,78.862
154,40,28250,69.786
155,40,3359,180.579
156,41,3361,176.643
157,41,42,80.36200000000001
158,26156,41,68.14699999999999
159,41,26156,68.14699999999999
160,42,43,66.669
161,42,3195,86.114
162,3357,42,77.887
163,43,44,92.117
164,3194,43,83.71600000000001
165,44,45,145.801
166,44,3193,86.83900000000001
167,3356,44,37.902
168,44,3356,37.902
169,45,4932,506.872
170,45,46,35.577
171,3192,45,86.309
172,46,32803,41.2
173,34695,46,18.189
174,47,24290,102.27
175,47,48,113.993
176,3496,47,166.229
177,30595,47,128.78
178,48,3482,24.322
179,48,24346,46.899
180,24346,48,46.899
181,3484,48,43.319
182,49,5828,10.823
183,5828,49,10.823
184,49,1534,119.873
185,5828,50,62.148
186,50,5828,62.148
187,50,2946,186.088
188,50,39486,73.43
189,39486,50,73.43
190,28252,50,87.855
191,51,52,75.94800000000001
192,52,51,75.94800000000001
193,51,39296,177.21400000000003
194,39296,51,177.21400000000003
195,39486,51,85.403
196,51,39486,85.403
197,404,51,89.011
198,52,131,92.491
199,52,25566,29.791
200,1528,52,247.561
201,25569,52,76.538
202,53,36665,21.472
203,36665,53,21.472
204,53,39372,128.082
205,53,25569,114.072
206,25569,53,114.072
207,2907,53,223.239
208,53,2907,223.239
209,1525,54,39.629
210,54,1525,39.629
211,54,28258,40.96
212,28258,54,40.96
213,1513,54,195.759
214,54,1513,195.759
215,41706,55,13.972
216,55,41706,13.972
217,56,118,26.194
218,56,16148,448.461
219,16148,56,448.461
220,119,56,63.947
221,56,119,63.947
222,2072,56,26.607
223,57,26540,42.916
224,26540,57,42.916
225,57,16151,73.119
226,25558,57,76.31700000000001
227,27857,58,9.749
228,58,27857,9.749
229,58,371,570.9399999999999
230,59,58,99.385
231,59,24213,47.512
232,24213,59,47.512
233,28271,59,90.659
234,60,42013,112.329
235,42013,60,112.329
236,60,3580,103.765
237,2492,60,135.891
238,5864,60,8.686
239,3717,61,231.241
240,61,3717,231.241
241,61,5725,42.969
242,5725,61,42.969
243,3588,61,30.405
244,5725,62,14.314
245,62,5725,14.314
246,62,38531,178.905
247,38531,62,178.905
248,31090,62,202.29200000000003
249,63,30330,34.318
250,30330,63,34.318
251,30332,63,7.592000000000001
252,63,30332,7.592000000000001
253,30328,63,10.83
254,63,30328,10.83
255,38531,63,32.622
256,63,38531,32.622
257,30330,64,85.274
258,64,30330,85.274
259,64,3769,69.755
260,3769,64,69.755
261,3763,64,201.426
262,65,18591,193.223
263,8065,65,104.445
264,65,8065,104.445
265,24127,65,118.797
266,65,24127,118.797
267,18594,65,46.496
268,66,23512,10.246
269,66,28017,12.331
270,18591,66,22.573
271,67,1602,178.146
272,1600,67,243.471
273,1601,67,139.36100000000002
274,68,1204,323.346
275,68,70,324.03400000000005
276,5319,68,219.30600000000004
277,69,30092,105.351
278,30085,69,252.896
279,69,30085,252.896
280,30090,69,20.445
281,70,2533,125.385
282,2532,70,388.898
283,71,3550,902.635
284,90,71,1525.0469999999998
285,2534,71,241.242
286,72,27323,1708.4000000000003
287,3555,72,293.194
288,18438,72,289.367
289,73,1648,101.449
290,13580,73,354.886
291,27323,73,583.298
292,74,5108,3033.9680000000003
