section_id,s_node,e_node,length,direction
0,0,21318,91.16299999999998,0
1,0,6360,7711.288000000004,1
2,6360,0,7711.288000000004,1
3,37814,0,80.993,0
4,1,22232,136.954,1
5,22232,1,136.954,1
6,1,21836,25.798000000000002,1
7,21836,1,28.193,1
8,21834,1,57.341,0
9,21856,2,94.484,1
10,2,21856,94.484,1
11,2,21831,121.62299999999999,1
12,21831,2,121.62299999999999,1
13,21858,2,104.09700000000001,1
14,2,21858,104.09700000000001,1
15,3,22769,27.927,0
16,3,22765,61.901,0
17,22755,3,61.367,0
18,4,22804,110.149,1
19,22804,4,110.149,1
20,4,22783,101.156,0
21,22815,4,69.59,0
22,22817,4,83.307,0
23,5,22817,91.568,0
24,21897,5,117.455,1
25,5,21897,117.455,1
26,5,22827,95.486,1
27,22827,5,95.486,1
28,6,22945,259.009,1
29,22945,6,259.009,1
30,6,22818,99.21900000000002,0
31,21897,6,58.559,1
32,6,21897,58.559,1
33,21342,6,102.73200000000001,0
34,7,9122,28.523000000000003,0
35,21311,7,50.273999999999994,0
36,22939,7,605.0620000000001,0
37,8,22975,8.486,1
38,22975,8,8.486,1
39,8,21329,282.884,0
40,21324,8,100.61399999999999,0
41,9,42650,6.472,0
42,9,42651,143.08599999999996,0
43,16202,9,28.44,0
44,23751,9,18.89,0
45,30207,10,13.925999999999998,1
46,10,30207,13.925999999999998,1
47,10,3648,89.428,1
48,3648,10,89.428,1
49,30067,10,10.874,1
50,10,30067,10.874,1
51,11,2921,13.112,1
52,2921,11,13.112,1
53,2001,11,116.045,0
54,12,40404,28.85,0
55,41175,12,61.107,1
56,12,41175,61.107,1
57,383,12,126.34299999999999,0
58,2549,12,61.93300000000001,0
59,13,23751,101.867,0
60,13,23752,80.277,0
61,14,13,138.215,0
62,3647,13,84.85500000000002,0
63,14,1993,20.97,0
64,381,14,25.575,0
65,22405,14,25.24,0
66,15,43760,7.5920000000000005,0
67,15,43760,7.5920000000000005,0
68,2557,15,81.03399999999998,0
69,42651,15,51.993,0
70,16,31802,39.984,0
71,16,20,187.83000000000004,0
72,6006,16,20.213,0
73,17,6006,73.374,0
74,17,37984,416.75700000000006,0
75,6007,17,43.196000000000005,0
76,18,30067,90.478,0
