section_id,s_node,e_node,length,direction,interval
0,0,21318,91.16299999999998,0,0.2676171660423279
1,0,6360,7711.288000000004,1,0.06451757252216339
2,6360,0,7711.288000000004,1,0.0924646258354187
3,37814,0,80.993,0,0.02786961942911148
4,1,22232,136.954,1,0.0
5,22232,1,136.954,1,0.25654667615890503
6,1,21836,25.798,1,0.0
7,21836,1,28.193,1,0.0
8,21834,1,57.341,0,0.0
9,21856,2,94.484,1,0.0
10,2,21856,94.484,1,0.0
11,2,21831,121.623,1,0.0
12,21831,2,121.623,1,0.2451791763305664
13,21858,2,104.097,1,0.0526232048869133
14,2,21858,104.097,1,0.0
15,3,22769,27.927,0,0.0
16,3,22765,61.901,0,0.0
17,22755,3,61.367,0,0.05032829940319061
18,4,22804,110.149,1,0.09486701339483261
19,22804,4,110.149,1,0.0
20,4,22783,101.156,0,0.09486701339483261
21,22815,4,69.59,0,0.16848453879356384
22,22817,4,83.307,0,0.2017768919467926
23,5,22817,91.568,0,0.0
24,21897,5,117.455,1,0.0434400737285614
25,5,21897,117.455,1,0.0
26,5,22827,95.486,1,0.0
27,22827,5,95.486,1,0.0
28,6,22945,259.009,1,0.0
29,22945,6,259.009,1,0.0
30,6,22818,99.21900000000002,0,0.0
31,21897,6,58.559,1,0.0434400737285614
32,6,21897,58.559,1,0.0
33,21342,6,102.732,0,0.14513877034187317
34,7,9122,28.523000000000003,0,0.0
35,21311,7,50.274,0,0.0
36,22939,7,605.0620000000001,0,0.09692294150590897
37,8,22975,8.486,1,0.16025345027446747
38,22975,8,8.486,1,0.0
39,8,21329,282.884,0,0.16025345027446747
40,21324,8,100.614,0,0.0
41,9,42650,6.472,0,0.0342584028840065
42,9,42651,143.08599999999996,0,0.0
43,16202,9,28.44,0,0.45187580585479736
44,23751,9,18.89,0,0.0
45,30207,10,13.925999999999998,1,0.0
46,10,30207,13.925999999999998,1,0.0
47,10,3648,89.428,1,0.0
48,3648,10,89.428,1,0.0
49,30067,10,10.874,1,0.0
50,10,30067,10.874,1,0.0
51,11,2921,13.112,1,0.14830707013607025
52,2921,11,13.112,1,0.3747144937515259
53,2001,11,116.045,0,0.0
54,12,40404,28.85,0,0.0
55,41175,12,61.107,1,0.0
56,12,41175,61.107,1,0.0
57,383,12,126.343,0,0.10849753022193909
58,2549,12,61.93300000000001,0,0.0
59,13,23751,101.867,0,0.0
60,13,23752,80.277,0,0.0
61,14,13,138.215,0,0.0
62,3647,13,84.85500000000002,0,0.16835236549377441
63,14,1993,20.97,0,0.0
64,381,14,25.575,0,0.0
65,22405,14,25.24,0,0.15379376709461212
66,15,43760,7.592,0,0.02070331573486328
67,15,43760,7.592,0,0.02070331573486328
68,2557,15,81.03399999999998,0,0.3027760088443756
69,42651,15,51.993,0,0.45164647698402405
70,16,31802,39.984,0,0.0
71,16,20,187.83000000000004,0,0.0
72,6006,16,20.213,0,0.0
73,17,6006,73.374,0,0.0
74,17,37984,416.75700000000006,0,0.1217641830444336
75,6007,17,43.19600000000001,0,0.08361600339412689
76,18,30067,90.478,0,0.006739430129528046
77,32,18,115.596,0,0.004511386156082153
78,3648,18,58.28699999999999,0,0.0
79,19,16202,15.464,0,0.32514673471450806
80,28441,19,31.524,0,0.2855616807937622
81,28444,19,33.236000000000004,0,0.0
82,20,31692,205.509,0,0.0
83,21,20,104.95900000000002,0,0.0319497287273407
84,21,22,259.527,0,0.06247977912425995
85,10731,21,104.095,0,0.0
86,22,21504,296.687,0,0.0
87,22,23,74.15899999999998,0,0.0
88,23,26009,28.47,0,0.0
89,26008,23,40.929,0,0.201665461063385
90,24,37,62.90600000000001,1,0.0
91,37,24,62.90600000000001,1,0.1316230595111847
92,24,30205,16.834,0,0.0
93,30204,24,24.548,0,0.1123039722442627
94,26,25,60.746,1,0.0
95,25,26,60.746,1,0.05100357532501221
96,25,24380,189.91200000000003,1,0.06320390105247498
97,24380,25,189.91200000000003,1,0.0
98,26001,25,44.40300000000001,0,0.0
99,30336,25,6.252999999999999,0,0.0
100,26,10732,17.665,1,0.0
101,10732,26,17.665,1,0.0
102,26,10731,46.666,0,0.0
103,31,26,46.762,0,0.5437493920326233
104,27,26003,83.015,0,0.28144925832748413
105,32,27,48.228,0,0.047758787870407104
106,6018,27,35.216,0,0.11238408088684082
107,28,29,69.444,0,0.14868974685668945
108,28,21865,235.404,0,0.1684335470199585
109,26003,28,10.234,0,0.0
110,29,26000,10.264,0,0.385367751121521
111,29,26003,65.488,0,0.3705049455165863
112,30,29,47.109,0,0.0
113,21866,29,266.682,0,0.014216043055057526
114,31,30,47.733,0,0.5406398773193359
115,26002,30,62.633,0,0.056561946868896484
116,26001,31,63.00399999999999,0,0.0
117,26000,32,58.537,0,0.011934034526348114
118,21504,33,20.16,1,0.5990949869155884
119,33,21504,20.16,1,0.16534754633903503
120,33,26442,56.136,1,0.27841365337371826
121,26442,33,56.136,1,0.0
122,33,25608,49.78999999999999,1,0.16484220325946808
123,25608,33,49.78999999999999,1,0.10043320804834366
124,34,16136,16.3,0,0.0
125,31395,34,27.021,1,0.0
126,34,31395,27.021,1,0.0
127,26016,35,22.028,1,0.0
128,35,26016,22.028,1,0.10804733633995056
129,35,26017,27.949,0,0.11195710301399231
130,35,2013,17.525,1,0.0959303230047226
131,2013,35,17.525,1,0.0
132,36,6176,16.343,1,0.4155852198600769
133,6176,36,16.343,1,0.09365459531545639
134,2013,36,97.686,1,0.0
135,36,2013,97.686,1,0.4168594479560852
136,31702,36,207.029,0,0.0
137,37,26016,13.803,1,0.14453443884849548
138,26016,37,13.803,1,0.0
139,3566,37,100.437,0,0.15297214686870575
140,659,38,29.814,1,0.0
141,38,659,29.814,1,0.0
142,38,4941,302.022,0,0.0
143,38,2912,40.596,0,0.0
144,28438,38,130.615,1,0.08921399712562561
145,38,28438,130.615,1,0.0
146,31812,38,194.237,0,0.3269519805908203
147,39,40,75.057,0,0.0
148,39,1530,100.73,0,0.0
149,39,26157,71.60600000000002,0,0.0
150,284,39,187.165,0,0.0
151,32933,39,53.886,0,0.0061022937297821045
152,32933,39,53.25900000000001,0,0.0061022937297821045
153,40,41,78.862,0,0.01343691349029541
154,40,28250,69.786,0,0.16868209838867188
155,40,3359,180.579,0,0.14552992582321167
156,41,3361,176.643,0,0.06277480721473694
157,41,42,80.36200000000002,0,0.0008640885353088379
158,26156,41,68.14699999999999,1,0.0
159,41,26156,68.14699999999999,1,0.0
160,42,43,66.669,0,0.17418885231018066
161,42,3195,86.11399999999998,0,0.21952012181282043
162,3357,42,77.887,0,0.0
163,43,44,92.117,0,0.0
164,3194,43,83.71600000000002,0,0.04127325117588043
165,44,45,145.80100000000004,0,0.08191253244876862
166,44,3193,86.83900000000001,0,0.18767833709716797
167,3356,44,37.902,1,0.0
168,44,3356,37.902,1,0.14909446239471436
169,45,4932,506.872,0,0.0
170,45,46,35.577,0,0.0
171,3192,45,86.309,0,0.0
172,46,32803,41.2,0,0.0
173,34695,46,18.189,0,0.0
174,47,24290,102.27,0,0.4382573962211609
175,47,48,113.993,0,0.4998926818370819
176,3496,47,166.229,0,0.0
177,30595,47,128.78,0,0.294425368309021
178,48,3482,24.322,0,0.0
179,48,24346,46.899,1,0.0
180,24346,48,46.899,1,0.2766890525817871
181,3484,48,43.319,0,0.11972381174564362
182,49,5828,10.823,1,0.0
183,5828,49,10.823,1,0.4533877670764923
184,49,1534,119.873,0,0.0
185,5828,50,62.148,1,0.5057412981987
186,50,5828,62.148,1,0.0
187,50,2946,186.088,0,0.0
188,50,39486,73.43,1,0.0
189,39486,50,73.43,1,0.0
190,28252,50,87.855,0,0.14366552233695984
191,51,52,75.94800000000002,1,0.16363351047039032
192,52,51,75.94800000000002,1,0.0
193,51,39296,177.21400000000003,1,0.106330007314682
194,39296,51,177.21400000000003,1,0.1852138340473175
