node,lng,lat
0,12.3483586,41.7021122
1,12.264032,41.7337426
2,12.2686838,41.7322567
3,12.2857285,41.7267575
4,12.2930693,41.724389
5,12.295012,41.72378
6,12.2968851,41.7230444
7,12.3171989,41.714662
8,12.32298,41.712044
9,12.4648844,41.9007319
10,12.4665261,41.899504
11,12.4788676,41.9046697
12,12.4634563,41.901815
13,12.4642534,41.8997896
14,12.4625957,41.8996836
15,12.4632176,41.9010886
16,12.467407,41.9005531
17,12.4667282,41.9012216
18,12.4666911,41.8986561
19,12.4652611,41.9004539
20,12.4684567,41.8991995
21,12.4695763,41.8988839
22,12.4722018,41.8977238
23,12.4727302,41.8971855
24,12.4733201,41.8966629
25,12.470083,41.897481
26,12.4693827,41.8976445
27,12.4669717,41.8975097
28,12.4676135,41.8968207
29,12.4680257,41.8973594
30,12.4685882,41.8972997
31,12.4691615,41.8972576
32,12.4674291,41.8977784
33,12.4726864,41.9004415
34,12.473814,41.9002227
35,12.4744851,41.8964934
36,12.4758502,41.8963102
37,12.4740555,41.8965332
38,12.4750844,41.9049233
39,12.4952304,41.902029
40,12.494543,41.9015887
41,12.4938275,41.9011203
42,12.4930978,41.9006435
43,12.4924963,41.9002447
44,12.491662,41.8996964
45,12.4903418,41.8988284
46,12.4900226,41.8986141
47,12.4880626,41.8973291
48,12.4870163,41.8966625
49,12.4998175,41.9008288
50,12.4992668,41.9003165
51,12.4980573,41.8992075
52,12.4974872,41.8986723
53,12.4960073,41.8973743
54,12.4932459,41.8946669
55,12.4878737,41.8933059
56,12.4822238,41.8966841
57,12.4797832,41.9024786
58,12.4713136,41.8927355
59,12.4721781,41.8921179
60,12.5123286,41.8998199
61,12.5082356,41.9005342
62,12.5079782,41.9010124
63,12.5070116,41.9027733
64,12.5068594,41.9038302
65,12.5054854,41.9062237
66,12.5046647,41.908063
67,12.3877738,41.8862126
68,12.3820563,41.8858835
69,12.4145115,41.8928277
70,12.380623,41.8842822
71,12.3792649,41.8774539
72,12.4220873,41.8069885
73,12.4485096,41.8014356
74,12.5697589,41.811156
75,12.6001023,41.8620476
76,12.601944,41.8651888
77,12.6010498,41.8653659
78,12.5864536,41.8687556
79,12.552148,41.8771194
80,12.5268484,41.8868088
81,12.5154927,41.8922274
82,12.5148666,41.8922332
83,12.5159993,41.8919212
84,12.5132546,41.8928151
85,12.5108331,41.8942817
86,12.5107947,41.8966964
87,12.5103133,41.8971524
88,12.4047626,41.9693553
89,12.3823253,41.9213756
90,12.3810956,41.8910199
91,12.3841381,41.9558453
92,12.7484463,41.9277603
93,12.333815,42.0695412
94,12.3484525,42.0630541
95,12.3506867,42.0627673
96,12.3721643,42.0547077
97,12.426281,41.8905193
98,12.4398044,41.8958982
99,12.4525272,41.8997945
100,12.4551782,41.900269
101,12.4259847,41.9014734
102,12.4725344,41.8962536
103,12.471817,41.8960034
104,12.4878998,41.8835838
105,12.4822503,41.8871939
106,12.4835403,41.886219
107,12.4266952,41.8908144
108,12.4410178,41.8898919
109,12.4428332,41.8916979
110,12.4443562,41.8915559
111,12.4433114,41.8922686
112,12.4416883,41.893462
113,12.4421518,41.893788
114,12.4451822,41.8957797
115,12.4512074,41.8997646
116,12.4507274,41.9004806
117,12.4514196,41.8988966
118,12.481922,41.8966132
119,12.4826655,41.8962217
120,12.4835075,41.8954624
121,12.4825447,41.8955429
122,12.4820859,41.8949191
123,12.481958,41.8941584
124,12.4814966,41.8940681
125,12.4813623,41.8941577
126,12.4810368,41.8948337
127,12.4817349,41.8952991
128,12.47658,41.9011702
129,12.4744774,41.8903445
130,12.4965781,41.9027182
131,12.4969811,41.8994139
132,12.4967969,41.9046262
133,12.4942491,41.904441
134,12.4930484,41.9051186
135,12.4909766,41.9058649
136,12.4903508,41.9054754
137,12.4902461,41.9053978
138,12.4897186,41.9049804
139,12.4887383,41.9041693
140,12.4886363,41.9057822
141,12.4901881,41.906392
142,12.4892955,41.9081361
143,12.4885391,41.9091524
144,12.4885886,41.9093843
145,12.4899476,41.9096557
146,12.4476482,41.9053618
147,12.4441405,41.9033875
148,12.4277252,41.8985816
149,12.4677471,41.8919983
150,12.4683065,41.8910027
151,12.4689986,41.8901893
152,12.4691963,41.8897431
153,12.4747734,41.8902775
154,12.4746595,41.8894275
155,12.4759117,41.8893139
156,12.475237,41.8939179
157,12.4703803,41.8879394
158,12.4811755,41.8880191
159,12.4779777,41.8908602
160,12.4785456,41.8913436
161,12.4755279,41.8918221
162,12.479418,41.8906622
163,12.4801859,41.8895083
164,12.476658,41.8897378
165,12.4748794,41.8882907
166,12.4755381,41.8888976
167,12.4805457,41.8908966
168,12.4832606,41.8881857
169,12.4828423,41.8996171
170,12.4812079,41.9065435
171,12.4775902,41.8894198
172,12.4881602,41.9034322
173,12.386577,41.9007843
174,12.3885397,41.8988933
175,12.4319278,41.7420683
176,12.4324848,41.7430216
177,12.4381998,41.7647675
178,12.4546681,41.8039427
179,12.4557316,41.8060045
180,12.4724413,41.8364561
181,12.4945076,41.8673458
182,12.4904617,41.8686244
183,12.4538674,41.8014722
184,12.4544454,41.8008339
185,12.4023065,41.8106019
186,12.3803881,41.8795541
187,12.3853204,41.910545
188,12.387454,41.9137028
189,12.3884087,41.9139703
190,12.3885551,41.9139417
191,12.3920938,41.9183048
192,12.3964068,41.9200695
193,12.3967174,41.9202958
194,12.3978104,41.9208316
195,12.4016216,41.9237496
196,12.4065198,41.9246278
197,12.411927,41.9229919
198,12.4123163,41.9233805
199,12.4209691,41.9272702
200,12.4228429,41.9263117
201,12.4211593,41.9325632
202,12.4209234,41.93333
203,12.4202992,41.9343515
204,12.4231458,41.9366445
205,12.4202916,41.9391907
206,12.4236514,41.9401884
207,12.42236,41.9391684
208,12.4238419,41.9394535
209,12.4263381,41.9313567
210,12.426461,41.9269116
211,12.4261346,41.9259484
212,12.4227691,41.9196224
213,12.4225072,41.9160413
214,12.4234102,41.9124192
215,12.4248119,41.9094176
216,12.4253554,41.9074916
217,12.4253181,41.9056199
218,12.4248857,41.9048803
219,12.429378,41.8948842
220,12.4391898,41.8902971
221,12.4404613,41.8878938
222,12.4426784,41.8770275
223,12.4673625,41.8725906
224,12.4675186,41.8709229
225,12.4736216,41.8722592
226,12.4846826,41.8716326
227,12.4843795,41.8691066
228,12.5241906,41.6956948
229,12.5769569,41.7103395
230,12.4940038,41.8899552
231,12.4934365,41.8892673
232,12.5472253,41.8956147
233,12.5477772,41.8934883
234,12.4818504,41.8937489
235,12.480457,41.8886504
236,12.4774828,41.8917755
237,12.4774491,41.8923761
238,12.4765508,41.8926914
239,12.4764908,41.8918817
240,12.4757088,41.8936201
241,12.4755638,41.892257
242,12.4751324,41.8928542
243,12.4763485,41.8921731
244,12.4748732,41.8923732
245,12.4589207,41.9060611
246,12.4684369,41.9054082
247,12.4612995,41.9064126
248,12.4675447,41.9068931
249,12.4645893,41.9061497
250,12.4679175,41.9062519
251,12.4621578,41.9058396
252,12.4732515,41.9072608
253,12.4733381,41.9050444
254,12.470558,41.9065666
255,12.4709752,41.9087029
256,12.4721554,41.9058577
257,12.4713184,41.9059189
258,12.4707319,41.9057889
259,12.4720605,41.905145
260,12.4713984,41.9066239
261,12.4723768,41.9077331
262,12.4597039,41.9081963
263,12.4641617,41.9092925
264,12.4536025,41.9156265
265,12.4492411,41.9099916
266,12.4707133,41.9071728
267,12.4722653,41.9067074
268,12.4969876,41.8900014
269,12.5046256,41.8870807
270,12.5063018,41.8870216
271,12.5086095,41.8867182
272,12.5150391,41.8872264
273,12.5180619,41.8879387
274,12.5220926,41.8849954
275,12.5228824,41.8836908
276,12.5232291,41.8823591
277,12.5229346,41.8818538
278,12.5222158,41.8814116
279,12.5226979,41.8809541
280,12.5218125,41.8794863
281,12.5678753,41.8536415
282,12.5901033,41.8379701
283,12.6225848,41.8283574
284,12.4962519,41.9005273
285,12.4985698,41.9053842
286,12.5000025,41.9042155
287,12.5002379,41.903151
288,12.4867008,41.8813088
289,12.4865019,41.8821764
290,12.4864184,41.8824227
291,12.4855491,41.8805152
292,12.4847013,41.8799722
293,12.4851155,41.8791082
294,12.489056,41.8845855
295,12.4892002,41.8848926
296,12.4954513,41.8897518
297,12.4967937,41.8893311
298,12.4949366,41.8882839
299,12.4951178,41.8888021
300,12.4937147,41.8890725
301,12.4964926,41.8885248
302,12.4963225,41.8880152
303,12.4940146,41.8884549
304,12.4983846,41.889721
305,12.4961537,41.88751
306,12.4974414,41.8872789
307,12.4977503,41.888156
308,12.5756802,41.8110551
309,12.5754714,41.8149021
310,12.4950911,41.8807688
311,12.4929289,41.8891593
312,12.4952807,41.8892569
313,12.4966545,41.8889969
314,12.5022917,41.8872449
315,12.4979564,41.8887329
316,12.4842435,41.877648
317,12.485073,41.8781428
318,12.4836256,41.8782217
319,12.4882377,41.8835378
320,12.4819134,41.8770041
321,12.4897922,41.8846086
322,12.4901439,41.8839282
323,12.4904507,41.8824744
324,12.4898424,41.8792172
325,12.4900493,41.8787004
326,12.493202,41.8765278
327,12.5033048,41.8872756
328,12.4947632,41.8877768
329,12.4951668,41.8861566
330,12.4943104,41.8878649
331,12.5308811,41.9021076
332,12.5305427,41.901548
333,12.5290824,41.9000527
334,12.5195661,41.8973789
335,12.5172329,41.8999083
336,12.5183645,41.9019099
337,12.4976993,41.8872326
338,12.509835,41.990464
339,12.5255552,41.9858489
340,12.522139,41.9851129
341,12.5284592,41.983944
342,12.5268192,41.9820534
343,12.5298776,42.0182387
344,12.7450222,41.9281133
345,12.7466824,41.9275264
346,12.7431733,41.9238386
347,12.7381445,41.9263744
348,12.7426329,41.9228716
349,12.7450271,41.9188757
350,12.738081,41.9311118
351,12.597113,41.8569991
352,12.5978361,41.8570308
353,12.597766,41.8571663
354,12.5976053,41.8572571
355,12.5975462,41.8567403
356,12.4565284,41.9000336
357,12.4562322,41.8990992
358,12.4565926,41.90025
359,12.4544308,41.8994798
360,12.4551693,41.899544
361,12.4558717,41.8993132
362,12.455504,41.896046
363,12.4548125,41.8984784
364,12.4542526,41.8999377
365,12.4574978,41.894638
366,12.4531492,41.8980652
367,12.4547029,41.8987424
368,12.455231,41.8977994
369,12.460664,41.9014817
370,12.4654453,41.895672
371,12.4665536,41.8964477
372,12.4470524,41.9001317
373,12.4496211,41.8965115
374,12.4487392,41.8968819
375,12.4519804,41.8948848
376,12.4509999,41.8969645
377,12.4501714,41.8959846
378,12.4564327,41.8981677
379,12.4550666,41.8977544
380,12.4603354,41.8994856
381,12.4622985,41.8996206
382,12.461932,41.9021865
383,12.4619568,41.9016076
384,12.4607334,41.8993626
385,12.5062512,41.9021943
386,12.5027481,41.9041514
387,12.5056938,41.9017639
388,12.5055222,41.9027561
389,12.5062914,41.9032946
390,12.5049506,41.9023712
391,12.4999828,41.908414
392,12.4992168,41.9078749
393,12.5008945,41.9034916
394,12.50466,41.9009398
395,12.5019145,41.9068441
396,12.5011761,41.9062854
397,12.4975681,41.9013429
398,12.4968766,41.9009055
399,12.5059992,41.8954187
400,12.5140358,41.8918714
401,12.5098054,41.8932296
402,12.5063171,41.8943652
403,12.5012328,41.8973189
404,12.4972223,41.899712
405,12.4948943,41.8971714
406,12.4978702,41.9002987
407,12.3802375,41.8837697
408,12.4186085,41.8957776
409,12.439715,41.7081851
410,12.4398418,41.706969
411,12.4268931,41.7068004
412,12.5777377,41.7089653
413,12.5915593,41.6949061
414,12.5955052,41.6920242
415,12.4177102,41.9355107
416,12.4199019,41.9339711
417,12.4135335,41.9309826
418,12.4238729,41.9416486
419,12.4259126,41.9417035
420,12.4249956,41.9412115
421,12.4251265,41.9401558
422,12.4212404,41.9326652
423,12.424537,41.9392755
424,12.4241429,41.939682
425,12.4238986,41.9399512
426,12.4200981,41.932013
427,12.4178825,41.9297113
428,12.4166532,41.9282036
429,12.4149114,41.9259797
430,12.3994709,41.9110918
431,12.4823007,41.8719918
432,12.4845288,41.8700867
433,12.4871829,41.8688391
434,12.4874057,41.8698108
435,12.4881044,41.867123
436,12.4885086,41.8671181
437,12.4904963,41.8671103
438,12.4869993,41.8673608
439,12.4852729,41.8709777
440,12.4851292,41.8711707
441,12.4847147,41.8712114
442,12.4887973,41.8701249
443,12.489133,41.8706309
444,12.4891354,41.869543
445,12.4888116,41.8688984
446,12.4890205,41.8688924
447,12.4856584,41.8711398
448,12.4490794,41.9178695
449,12.4371762,41.9360295
450,12.4177279,41.9454493
451,12.4124512,41.9558853
452,12.4123794,41.9582454
453,12.4119846,41.9594396
454,12.4095261,41.9674174
455,12.4083691,41.9720134
456,12.4084987,41.9807224
457,12.4451469,41.9309765
458,12.4426057,41.9379926
459,12.4626979,41.9481235
460,12.4574246,41.9149745
461,12.4541734,41.9134747
462,12.4520071,41.9129607
463,12.4556666,41.9072185
464,12.4555019,41.9079288
465,12.4705432,41.9116215
466,12.462538,41.9080049
467,12.4712954,41.9101818
468,12.4589638,41.9064263
469,12.4567421,41.9074895
470,12.4567912,41.9082323
471,12.4568422,41.9090771
472,12.455303,41.9087149
473,12.4684617,41.9137131
474,12.4540123,41.9141334
475,12.4525293,41.912427
476,12.4543171,41.9128712
477,12.4563243,41.9147232
478,12.4553453,41.915
479,12.4551993,41.9144377
480,12.4539858,41.9159209
481,12.4572584,41.9165969
482,12.4557397,41.915098
483,12.3711365,41.7559465
484,12.339825,41.7269615
485,12.3027479,41.7193103
486,12.4658746,41.9061957
487,12.465631,41.9067392
488,12.4651049,41.9079462
489,12.4648278,41.9085687
490,12.4717092,41.9145727
491,12.4641803,41.9100511
492,12.4638323,41.9108259
493,12.466679,41.9083293
494,12.4663169,41.9089355
495,12.4658581,41.9097153
496,12.4654798,41.9103723
497,12.4651175,41.9111434
498,12.4689864,41.90658
499,12.4677667,41.9086026
500,12.4674116,41.9092051
501,12.4669618,41.9099914
502,12.4665856,41.9106457
503,12.4661427,41.9113952
504,12.468917,41.9088866
505,12.4685488,41.9095049
506,12.468099,41.9102757
507,12.4677088,41.9109191
508,12.4672946,41.9116663
509,12.4671573,41.9075572
510,12.4682131,41.9078643
511,12.4694849,41.9057252
512,12.4720208,41.9036362
513,12.4710666,41.9052318
514,12.4700554,41.9069423
515,12.4693245,41.9081963
516,12.4704301,41.9099603
517,12.4706484,41.9093004
518,12.4707478,41.9090858
519,12.4730476,41.9098957
520,12.4560511,41.9139505
521,12.4569209,41.9110471
522,12.4567263,41.9118109
523,12.4563042,41.9133569
524,12.4538156,41.9083424
525,12.4544834,41.9085108
526,12.4488675,41.9089852
527,12.449424,41.9091137
528,12.4526727,41.9080583
529,12.4519644,41.9096942
530,12.4523304,41.9088298
531,12.4492328,41.9080557
532,12.4500812,41.909226
533,12.4504663,41.908373
