,Traj_id,Node_list,Coor_list
0,0,"[21388, 33527, 7919, 21391, 21387, 7922, 38446, 7918, 37085, 4789, 38444, 39998, 5843, 4788, 38768, 4785, 7870, 4784, 30333, 7869, 7862, 39358, 36563, 26839, 35494, 7864, 4761, 4756, 4754, 41306, 41331, 764, 765, 41316, 33333, 10848, 26462, 43687, 41800, 2783, 43444, 10146, 722, 2911, 41686, 24049, 22882, 11084, 1214, 9099, 1248, 10410, 21434, 32523, 9054, 20171, 27673, 38145, 24303, 37116, 1375, 21308, 7665, 41518, 30341, 3239, 3240, 401, 4900, 4898, 39489, 37777, 2945, 2951, 5820, 2939, 38486]","[[12.603674, 41.9198068], [12.6025463, 41.9198415], [12.6029166, 41.9186024], [12.6014539, 41.9179051], [12.5995791, 41.9170335], [12.5982194, 41.9164423], [12.5947172, 41.9177151], [12.5933796, 41.9181674], [12.5905549, 41.9184357], [12.5894955, 41.9184492], [12.5892083, 41.9166848], [12.591445, 41.9136466], [12.5887091, 41.9116848], [12.5878585, 41.9128041], [12.5876599, 41.9119013], [12.5881318, 41.9102239], [12.5884138, 41.90918], [12.5888079, 41.9077332], [12.586597, 41.907379], [12.5840062, 41.9069645], [12.5831821, 41.9068087], [12.5838928, 41.9044074], [12.5837547, 41.9033762], [12.5821161, 41.9035003], [12.5797076, 41.9050433], [12.5772673, 41.9041418], [12.574926, 41.9030392], [12.5736585, 41.9025164], [12.5740989, 41.9009762], [12.574381, 41.8986217], [12.5743031, 41.8963793], [12.5745977, 41.8950545], [12.5745823, 41.8948756], [12.5715483, 41.8951914], [12.5685926, 41.895174], [12.5655956, 41.894674], [12.5640642, 41.8950647], [12.5625879, 41.894844], [12.5606582, 41.8947987], [12.5592478, 41.8947776], [12.5588706, 41.8949118], [12.5568575, 41.8945835], [12.5549397, 41.8941683], [12.549802, 41.8937307], [12.5472122, 41.8932423], [12.5439311, 41.8930292], [12.5425088, 41.8926823], [12.5408242, 41.892637], [12.539546, 41.8922651], [12.536114, 41.8923362], [12.5341891, 41.8922199], [12.5334978, 41.8921534], [12.5311533, 41.8920303], [12.5286836, 41.8913774], [12.5280255, 41.8914986], [12.5279304, 41.8912548], [12.5272838, 41.8913677], [12.5270062, 41.8911085], [12.5265641, 41.8909089], [12.5259345, 41.891222], [12.5248577, 41.8904663], [12.521659, 41.8912998], [12.5204622, 41.8913225], [12.5160702, 41.8916117], [12.5144471, 41.892152], [12.5127308, 41.8922843], [12.510871, 41.8928918], [12.5098054, 41.8932296], [12.5090863, 41.8933489], [12.5073993, 41.8938947], [12.5063523, 41.8943487], [12.5062363, 41.8942774], [12.5043516, 41.8954733], [12.5023222, 41.8966486], [12.5011626, 41.8972369], [12.5006079, 41.8966846], [12.4998612, 41.8970591]]"
1,1,"[39296, 52, 3362, 284, 39, 130, 1532]","[[12.4997066, 41.8981913], [12.4974872, 41.8986723], [12.4966295, 41.8999439], [12.4962519, 41.9005273], [12.4952304, 41.902029], [12.4965781, 41.9027182], [12.4962119, 41.9029481]]"
2,2,"[1532, 132, 43756, 285, 37230, 28015, 3397, 10398, 3892, 28016, 3893, 16170, 16175, 16174, 16171, 36494, 18604, 16172, 16167, 27542, 4183, 2022, 2035, 18607, 36663, 30644, 25910, 13161, 4437, 7734, 6741, 6742, 5922, 5958, 28428, 6753, 4069, 4068, 8465, 35140, 8462, 7553, 8451, 8457, 34629, 4381, 4055, 20233, 1095, 8487, 23388, 28810, 8483, 8482, 8480, 8473, 27986, 8480, 8482, 8481, 8485, 8084, 20233, 4055, 4057, 4381, 34629, 8457, 8451, 7553, 8461, 8465, 8466, 4065, 4059, 31148, 4077, 31740, 31739]","[[12.4962119, 41.9029481], [12.4967969, 41.9046262], [12.4968761, 41.904676], [12.4985698, 41.9053842], [12.4994758, 41.9060126], [12.4988452, 41.9073638], [12.4986901, 41.9081412], [12.4983501, 41.9097845], [12.4982219, 41.9104357], [12.4980876, 41.9105433], [12.4980834, 41.9110489], [12.4969116, 41.9110215], [12.4953242, 41.9109135], [12.494726, 41.9111017], [12.4938218, 41.9110593], [12.4938, 41.9111208], [12.4931326, 41.9110101], [12.4927803, 41.9109942], [12.4917818, 41.9106355], [12.4909973, 41.9103721], [12.4890595, 41.9099549], [12.4886215, 41.9095758], [12.4882922, 41.9098192], [12.4877899, 41.9097205], [12.4840549, 41.9154425], [12.4834424, 41.9157342], [12.4805352, 41.9162188], [12.4795038, 41.9107578], [12.4772496, 41.911003], [12.4749206, 41.9118341], [12.4742635, 41.9135043], [12.4739481, 41.9142896], [12.4736751, 41.9149796], [12.4727746, 41.9147866], [12.471682, 41.9146589], [12.4716443, 41.9170007], [12.4718621, 41.9184423], [12.4716147, 41.9193672], [12.471005, 41.9206812], [12.4713342, 41.9214004], [12.4695954, 41.9233028], [12.4683078, 41.923236], [12.4652531, 41.9239057], [12.4643296, 41.9242092], [12.4622451, 41.9255707], [12.4611419, 41.9271684], [12.4616603, 41.9295022], [12.4621625, 41.9306355], [12.4595071, 41.9316585], [12.4596768, 41.93231], [12.4619199, 41.933875], [12.4617148, 41.9340478], [12.4601188, 41.9333979], [12.4584492, 41.9351766], [12.458576, 41.9352566], [12.4604335, 41.9364329], [12.4594825, 41.9372568], [12.458576, 41.9352566], [12.4584492, 41.9351766], [12.4581407, 41.9349821], [12.4598791, 41.9332023], [12.4592044, 41.9317744], [12.4621625, 41.9306355], [12.4616603, 41.9295022], [12.4611641, 41.9282966], [12.4611419, 41.9271684], [12.4622451, 41.9255707], [12.4643296, 41.9242092], [12.4652531, 41.9239057], [12.4683078, 41.923236], [12.4699235, 41.9222057], [12.471005, 41.9206812], [12.472092, 41.9209339], [12.472371, 41.9202468], [12.4729858, 41.9188646], [12.4749684, 41.91907], [12.4778566, 41.9190391], [12.4798494, 41.9173899], [12.4806231, 41.9170444]]"
3,3,"[4092, 25910, 36663, 18607, 2036, 2051, 4937, 141, 135, 4935, 133, 41597, 43757, 1533, 39, 41, 3195, 1529, 2902, 25567, 2905, 38485, 28255, 1520, 39551, 3755, 1528, 52, 131, 3362, 284, 39, 1530, 1533, 1532, 132, 285, 5819, 23514, 6699, 10398, 28030, 19877, 18790, 10713, 18785, 10723, 4876, 27906, 4199, 4194, 4892, 3326, 3325, 3341, 4195, 4196, 4197, 4196, 24230, 3607, 24226, 3333, 10708, 4202, 10719, 6696]","[[12.4810967, 41.9168337], [12.4805352, 41.9162188], [12.4840549, 41.9154425], [12.4877899, 41.9097205], [12.4882263, 41.9095763], [12.4888092, 41.9087887], [12.4898985, 41.9073689], [12.4901881, 41.906392], [12.4909766, 41.9058649], [12.4934402, 41.9048505], [12.4942491, 41.904441], [12.4944432, 41.9042395], [12.4952348, 41.9036383], [12.4959238, 41.9027294], [12.4952304, 41.902029], [12.4938275, 41.9011203], [12.4939276, 41.9001763], [12.4948262, 41.8996708], [12.4957634, 41.8991404], [12.496979, 41.8982742], [12.4978722, 41.897344], [12.4993376, 41.8966119], [12.5000857, 41.8952794], [12.5010694, 41.8935265], [12.4997115, 41.8959461], [12.4994219, 41.8968815], [12.4995181, 41.8972486], [12.4974872, 41.8986723], [12.4969811, 41.8994139], [12.4966295, 41.8999439], [12.4962519, 41.9005273], [12.4952304, 41.902029], [12.4962757, 41.902462], [12.4959238, 41.9027294], [12.4962119, 41.9029481], [12.4967969, 41.9046262], [12.4985698, 41.9053842], [12.4999886, 41.9063613], [12.4988136, 41.9075668], [12.4985883, 41.9086153], [12.4983501, 41.9097845], [12.4978842, 41.9101919], [12.498807, 41.9105537], [12.4985973, 41.9110962], [12.4999594, 41.9122927], [12.5026266, 41.9135014], [12.5033048, 41.9138339], [12.5045205, 41.9147147], [12.5036406, 41.9154217], [12.5029912, 41.915794], [12.5005284, 41.917946], [12.4975867, 41.9201443], [12.4984201, 41.919463], [12.4985167, 41.9195328], [12.4994535, 41.9187778], [12.4998745, 41.9182956], [12.4998565, 41.9178835], [12.5001425, 41.9180765], [12.4998565, 41.9178835], [12.4995156, 41.9176565], [12.4985207, 41.9169611], [12.4975404, 41.9162835], [12.497186, 41.9151417], [12.4975582, 41.9135296], [12.4977153, 41.9128258], [12.4977989, 41.9124233], [12.4980755, 41.910404]]"
4,4,"[10398, 3397, 3385, 28766, 28765, 133, 4934, 2016, 133, 24341, 5699, 36661, 3075, 36476, 3354, 39798, 30596, 3358, 30596, 39798, 3354, 36476, 3353, 3075, 36661, 5699, 24341, 36557, 41597, 43757, 1533, 130, 43757, 1532, 43756, 285, 5819, 5826, 5817, 7733]","[[12.4983501, 41.9097845], [12.4986901, 41.9081412], [12.4965103, 41.9059684], [12.4960153, 41.9056254], [12.495783, 41.9054803], [12.4942491, 41.904441], [12.4935729, 41.9049775], [12.4935001, 41.9050032], [12.4942491, 41.904441], [12.4928579, 41.9034507], [12.4927683, 41.9033907], [12.4922784, 41.9030462], [12.4907386, 41.9019686], [12.4884869, 41.9004022], [12.4873392, 41.8995664], [12.4867846, 41.8988476], [12.4856907, 41.899831], [12.4838663, 41.9000337], [12.4856907, 41.899831], [12.4867846, 41.8988476], [12.4873392, 41.8995664], [12.4884869, 41.9004022], [12.4905698, 41.9006348], [12.4907386, 41.9019686], [12.4922784, 41.9030462], [12.4927683, 41.9033907], [12.4928579, 41.9034507], [12.4941034, 41.9040228], [12.4944432, 41.9042395], [12.4952348, 41.9036383], [12.4959238, 41.9027294], [12.4965781, 41.9027182], [12.4952348, 41.9036383], [12.4962119, 41.9029481], [12.4968761, 41.904676], [12.4985698, 41.9053842], [12.4999886, 41.9063613], [12.5014601, 41.905198], [12.5022078, 41.9045803], [12.5017656, 41.904093]]"
5,5,"[7733, 4492, 5817, 5818, 5819, 28015, 23514, 6699, 10398, 6696, 2047, 6695, 3392, 3382, 2038, 2025]","[[12.5017656, 41.904093], [12.5018165, 41.9040442], [12.5022078, 41.9045803], [12.5006018, 41.905874], [12.4999886, 41.9063613], [12.4988452, 41.9073638], [12.4988136, 41.9075668], [12.4985883, 41.9086153], [12.4983501, 41.9097845], [12.4980755, 41.910404], [12.4965436, 41.9100054], [12.496958, 41.9093008], [12.4957203, 41.9089669], [12.4945696, 41.9086517], [12.4935103, 41.9083713], [12.4920838, 41.9079782]]"
6,6,"[2025, 3377, 2042, 3376, 2037, 2038, 3392, 6695, 28030, 19877, 19878, 18790, 18791, 18790, 18791, 19878, 3900, 10713, 3901, 31120, 3902, 34026, 27010, 4874, 4878, 6860, 6859]","[[12.4920838, 41.9079782], [12.4929555, 41.9066782], [12.4934502, 41.9059298], [12.4941134, 41.9062178], [12.4938693, 41.9070779], [12.4935103, 41.9083713], [12.4957203, 41.9089669], [12.496958, 41.9093008], [12.4978842, 41.9101919], [12.498807, 41.9105537], [12.4989223, 41.9108412], [12.4985973, 41.9110962], [12.4986708, 41.9110324], [12.4985973, 41.9110962], [12.4986708, 41.9110324], [12.4989223, 41.9108412], [12.4987729, 41.9117319], [12.4999594, 41.9122927], [12.501288, 41.9129112], [12.5030881, 41.9137009], [12.5044334, 41.9146286], [12.5051539, 41.9154162], [12.5054368, 41.9164185], [12.5051411, 41.9170446], [12.5041543, 41.9180283], [12.5046302, 41.9189329], [12.5059663, 41.9198791]]"
7,7,"[25145, 6842, 6861, 6845, 6840, 6844, 4190, 25145, 6859, 6860, 4881, 4877, 3336, 4199, 3902, 31120, 6684, 3901, 27009, 3900, 6710, 3893, 28016, 19877, 18791, 18790, 3892, 3893, 18790, 18791, 3892, 28016, 18790, 3893, 18790, 18791, 18790, 18791, 18790, 19878, 18791, 18600, 18603, 16169, 16171, 18790, 36494, 6709, 3605, 3606]","[[12.5074075, 41.9208933], [12.5062545, 41.9214236], [12.506103, 41.9213155], [12.5043637, 41.9221832], [12.5051061, 41.9229037], [12.5060421, 41.9223617], [12.5054206, 41.9217534], [12.5074075, 41.9208933], [12.5059663, 41.9198791], [12.5046302, 41.9189329], [12.5033459, 41.9179369], [12.5024368, 41.9174287], [12.5017562, 41.9169375], [12.5029912, 41.915794], [12.5044334, 41.9146286], [12.5030881, 41.9137009], [12.5017834, 41.9131273], [12.501288, 41.9129112], [12.4991173, 41.911774], [12.4987729, 41.9117319], [12.4979587, 41.9116691], [12.4980834, 41.9110489], [12.4980876, 41.9105433], [12.498807, 41.9105537], [12.4986708, 41.9110324], [12.4985973, 41.9110962], [12.4982219, 41.9104357], [12.4980834, 41.9110489], [12.4985973, 41.9110962], [12.4986708, 41.9110324], [12.4982219, 41.9104357], [12.4980876, 41.9105433], [12.4985973, 41.9110962], [12.4980834, 41.9110489], [12.4985973, 41.9110962], [12.4986708, 41.9110324], [12.4985973, 41.9110962], [12.4986708, 41.9110324], [12.4985973, 41.9110962], [12.4989223, 41.9108412], [12.4986708, 41.9110324], [12.4969574, 41.9109332], [12.4958183, 41.9110483], [12.4945407, 41.9109945], [12.4938218, 41.9110593], [12.4985973, 41.9110962], [12.4938, 41.9111208], [12.4940301, 41.9132143], [12.4954772, 41.9146881], [12.496998, 41.9159167]]"
8,8,"[3606, 3333, 10708, 4202, 6710, 10398, 6699, 3397, 23514, 5819, 5826, 5817, 7733, 4492, 5822, 18790, 5814, 3768, 1076, 394, 3713, 2952, 2944, 399, 2800, 402, 37777, 2945, 2898, 4918, 2938, 2939, 1528, 52, 25568, 3362, 284, 39, 1530, 1531, 1532]","[[12.496998, 41.9159167], [12.497186, 41.9151417], [12.4975582, 41.9135296], [12.4977153, 41.9128258], [12.4979587, 41.9116691], [12.4983501, 41.9097845], [12.4985883, 41.9086153], [12.4986901, 41.9081412], [12.4988136, 41.9075668], [12.4999886, 41.9063613], [12.5014601, 41.905198], [12.5022078, 41.9045803], [12.5017656, 41.904093], [12.5018165, 41.9040442], [12.5010252, 41.9033771], [12.4985973, 41.9110962], [12.5020766, 41.9025589], [12.502976, 41.9019919], [12.5037255, 41.9015209], [12.50466, 41.9009398], [12.5070896, 41.8993773], [12.5046116, 41.897157], [12.5049368, 41.8960468], [12.5059992, 41.8954187], [12.5068842, 41.8948912], [12.5063171, 41.8943652], [12.5062363, 41.8942774], [12.5043516, 41.8954733], [12.5029072, 41.8953826], [12.5021647, 41.8957885], [12.5017269, 41.896045], [12.5006079, 41.8966846], [12.4995181, 41.8972486], [12.4974872, 41.8986723], [12.4968896, 41.8994122], [12.4966295, 41.8999439], [12.4962519, 41.9005273], [12.4952304, 41.902029], [12.4962757, 41.902462], [12.4963724, 41.9024788], [12.4962119, 41.9029481]]"
9,9,"[1532, 1533, 32933, 39, 42, 44, 3355, 30595, 47, 48, 3482, 3570, 3487, 2074, 56, 118, 23755, 16134, 5991, 5990, 5991, 5990, 5991, 5990, 5991, 5990, 5991, 5990, 5991, 5990, 5991, 5990]","[[12.4962119, 41.9029481], [12.4959238, 41.9027294], [12.4956832, 41.9023669], [12.4952304, 41.902029], [12.4930978, 41.9006435], [12.491662, 41.8996964], [12.4892876, 41.8981217], [12.4892364, 41.8980893], [12.4880626, 41.8973291], [12.4870163, 41.8966625], [12.4867825, 41.89653], [12.4853969, 41.896538], [12.4850271, 41.8972325], [12.4836916, 41.8969164], [12.4822238, 41.8966841], [12.481922, 41.8966132], [12.4807926, 41.8964547], [12.4804992, 41.8971931], [12.4802874, 41.8977699], [12.4797629, 41.8977128], [12.4802874, 41.8977699], [12.4797629, 41.8977128], [12.4802874, 41.8977699], [12.4797629, 41.8977128], [12.4802874, 41.8977699], [12.4797629, 41.8977128], [12.4802874, 41.8977699], [12.4797629, 41.8977128], [12.4802874, 41.8977699], [12.4797629, 41.8977128], [12.4802874, 41.8977699], [12.4797629, 41.8977128]]"
