edge,s_node,e_node,s_lng,s_lat,e_lng,e_lat,c_lng,c_lat
0,0,9114,-122.390902,37.7860172,-122.3646896,37.8104574,-122.3777958,37.7982373
1,7965,0,-122.3915799,37.7855817,-122.390902,37.7860172,-122.39124095,37.78579945
2,8723,0,-122.3928683,37.7837531,-122.390902,37.7860172,-122.39188515000001,37.78488515
3,1,7574,-122.4236705,37.731371,-122.4203647,37.7316169,-122.4220176,37.73149395
4,1,9509,-122.4236705,37.731371,-122.415164,37.7320411,-122.41941725000001,37.73170605
5,9512,1,-122.4321016,37.7320575,-122.4236705,37.731371,-122.42788605,37.73171425
6,2,4778,-122.4132611,37.7327065,-122.4015296,37.7379996,-122.40739535,37.73535305
7,2,7901,-122.4132611,37.7327065,-122.4076986,37.740917,-122.41047985,37.73681175
8,7895,2,-122.4141894,37.7323228,-122.4132611,37.7327065,-122.41372525,37.73251465
9,3,8380,-122.4034504,37.8050417,-122.4036563,37.8049634,-122.40355335,37.80500255
10,3,9696,-122.4034504,37.8050417,-122.4033518,37.805123,-122.4034011,37.80508235
11,9696,3,-122.4033518,37.805123,-122.4034504,37.8050417,-122.4034011,37.80508235
12,3,9685,-122.4034504,37.8050417,-122.4031918,37.8048548,-122.4033211,37.804948249999995
13,1352,3,-122.4059603,37.8066266,-122.4034504,37.8050417,-122.40470535,37.805834149999995
14,9694,3,-122.403462,37.8044904,-122.4034504,37.8050417,-122.4034562,37.80476605
15,4,763,-122.4164837,37.7990541,-122.417328,37.7989484,-122.41690585,37.79900125
16,763,4,-122.417328,37.7989484,-122.4164837,37.7990541,-122.41690585,37.79900125
17,5,7,-122.3911917,37.7705805,-122.3911048,37.7696737,-122.39114824999999,37.770127099999996
18,7,5,-122.3911048,37.7696737,-122.3911917,37.7705805,-122.39114824999999,37.770127099999996
19,7582,5,-122.3912318,37.7709988,-122.3911917,37.7705805,-122.39121175,37.77078965
20,5,7582,-122.3911917,37.7705805,-122.3912318,37.7709988,-122.39121175,37.77078965
21,5,7383,-122.3911917,37.7705805,-122.3895885,37.7706766,-122.39039009999999,37.77062855
22,7970,5,-122.3928533,37.7704808,-122.3911917,37.7705805,-122.3920225,37.77053065
23,7,6,-122.3911048,37.7696737,-122.3927659,37.7695721,-122.39193535,37.7696229
24,6,7,-122.3927659,37.7695721,-122.3911048,37.7696737,-122.39193535,37.7696229
25,6,8376,-122.3927659,37.7695721,-122.3944287,37.7694731,-122.39359730000001,37.7695226
26,8376,6,-122.3944287,37.7694731,-122.3927659,37.7695721,-122.39359730000001,37.7695226
