section_id,s_node,e_node,length
0,0,9114,3562.368
1,7965,0,76.898
2,8723,0,351.7950000000001
3,1,7574,293.54
4,1,9509,754.592
5,9512,1,752.0059999999999
6,2,4778,1196.6650000000004
7,2,7901,1176.4899999999998
8,7895,2,92.144
9,3,8380,20.253
10,3,9696,12.52
11,9696,3,12.52
12,3,9685,30.791
13,1352,3,283.065
14,9694,3,62.381
15,4,763,75.108
16,763,4,75.108
17,5,7,101.12
18,7,5,101.12
19,7582,5,46.646
20,5,7582,46.646
21,5,7383,141.32099999999997
22,7970,5,146.468
23,7,6,146.52
24,6,7,146.52
25,6,8376,146.56900000000002
26,8376,6,146.56900000000002
27,6,7970,101.335
28,7970,6,101.335
29,7,7454,212.056
30,7454,7,212.056
31,7,9502,141.30599999999998
32,9502,7,141.30599999999998
33,8,7384,19.164
34,8,7479,100.754
35,1736,8,46.775
36,7476,8,139.178
37,9,7476,108.454
38,7478,9,104.625
39,9,7478,104.625
40,10,9,47.538
41,9,10,47.538
42,11,10,205.427
43,10,11,205.427
44,156,10,115.935
45,11,12,113.397
46,12,11,113.397
47,8615,11,213.016
48,11,8615,213.016
49,156,12,206.746
50,12,156,206.746
51,12,7480,138.80100000000002
52,7480,12,138.80100000000002
53,13,14,147.026
54,13,1356,52.161
55,1356,13,52.161
56,2017,13,53.631
57,13,2017,53.631
58,14,1357,53.765
59,1357,14,53.765
60,2018,14,52.592
61,14,2018,52.592
62,15,16,74.131
63,16,15,74.131
64,16,800,204.35
65,800,16,204.35
66,7954,16,127.971
67,16,7954,127.971
68,17,803,191.95
69,803,17,191.95
70,804,18,280.743
71,18,804,280.743
72,18,805,200.527
73,805,18,200.527
74,18,19,86.43900000000001
75,19,18,86.43900000000001
76,18,5419,40.42
77,2328,19,341.21500000000003
78,19,2328,341.21500000000003
79,19,806,200.342
80,806,19,200.342
81,19,20,83.00999999999999
82,20,19,83.00999999999999
83,20,807,200.691
84,807,20,200.691
85,20,21,86.00200000000001
86,21,20,86.00200000000001
87,6511,20,62.947
88,20,6511,62.947
89,21,7740,66.131
90,7740,21,66.131
91,21,1795,100.15
92,1795,21,100.15
93,2602,21,203.572
94,21,2602,203.572
95,7740,22,6.946
96,22,7740,6.946
97,22,59,207.24
98,59,22,207.24
99,60,22,87.99
100,22,60,87.99
101,9207,22,75.03099999999999
102,22,9207,75.03099999999999
103,23,24,85.462
104,24,23,85.462
105,23,791,202.12
106,791,23,202.12
107,6368,23,166.612
108,23,6368,166.612
109,24,25,85.321
110,25,24,85.321
111,24,792,202.25600000000003
112,792,24,202.25600000000003
113,2229,24,44.759
114,24,2229,44.759
115,25,26,85.411
116,26,25,85.411
117,25,793,202.329
118,793,25,202.329
119,4118,25,34.418
120,25,4118,34.418
121,26,27,85.46300000000001
122,27,26,85.46300000000001
123,26,794,202.539
124,794,26,202.539
125,5965,26,202.54
126,26,5965,202.54
127,1259,27,202.607
128,27,1259,202.607
129,27,795,202.611
130,795,27,202.611
131,28,797,184.473
132,797,28,184.473
133,29,30,88.69300000000001
134,30,29,88.69300000000001
135,29,9472,102.411
136,9472,29,102.411
137,2413,29,543.195
138,29,2413,543.195
139,30,5061,75.727
140,5061,30,75.727
141,9472,30,79.803
142,30,9472,79.803
143,31,8661,154.304
144,8661,31,154.304
145,3232,31,87.518
146,31,3232,87.518
147,31,4347,124.841
148,4347,31,124.841
149,8661,32,11.125
150,32,8661,11.125
151,5675,32,189.385
152,32,5675,189.385
153,33,32,34.089
154,32,33,34.089
155,33,34,189.765
156,34,33,189.765
157,33,5905,285.762
158,5905,33,285.762
159,35,36,207.334
160,36,35,207.334
161,35,5372,93.826
162,5372,35,93.826
163,5905,35,97.237
164,35,5905,97.237
165,1490,36,159.245
166,36,1490,159.245
167,36,8983,6.888999999999999
168,8983,36,6.888999999999999
169,37,37,69.604
170,540,37,94.235
171,37,540,94.235
172,37,541,94.422
173,541,37,94.422
174,37,38,207.301
175,38,37,207.301
176,38,39,208.047
177,39,38,208.047
178,38,1213,94.452
179,1213,38,94.452
180,1212,38,94.284
181,38,1212,94.284
182,39,5369,94.482
183,5369,39,94.482
184,6146,39,94.32
185,39,6146,94.32
186,39,6831,207.379
187,6831,39,207.379
188,40,2686,94.538
189,2686,40,94.538
190,2685,40,94.415
191,40,2685,94.415
192,40,41,208.226
193,41,40,208.226
194,6874,40,207.58
195,40,6874,207.58
196,5869,41,94.461
197,41,5869,94.461
198,41,5370,94.573
199,5370,41,94.573
200,41,42,207.591
201,42,41,207.591
202,42,5371,94.595
203,5371,42,94.595
204,6532,42,94.516
205,42,6532,94.516
206,42,8859,208.025
207,8859,42,208.025
208,43,44,82.576
209,44,43,82.576
210,44,45,81.807
211,45,44,81.807
212,5844,44,176.519
213,44,5844,176.519
214,6494,45,27.467
215,45,6494,27.467
216,45,5365,94.273
217,5365,45,94.273
218,46,6947,10.056
219,6947,46,10.056
220,46,2163,94.097
221,2162,46,94.493
222,47,7698,200.62
223,7698,47,200.62
224,6947,47,204.514
225,47,6947,204.514
226,47,5366,94.231
227,5366,47,94.231
228,6113,47,94.363
229,47,6113,94.363
230,48,5367,94.271
231,5367,48,94.271
232,6533,48,94.331
233,48,6533,94.331
234,48,49,207.873
235,49,48,207.873
236,7091,48,200.59
237,48,7091,200.59
238,49,50,207.617
239,50,49,207.617
240,49,1026,94.337
241,1026,49,94.337
242,1025,49,94.281
243,49,1025,94.281
244,50,8968,94.398
245,8968,50,94.398
246,8965,50,94.221
247,50,8965,94.221
248,50,51,135.212
249,51,50,135.212
250,51,400,97.716
251,8384,51,46.148
252,52,53,20.928
253,53,52,20.928
254,53,54,68.857
255,9380,53,94.235
256,54,3604,94.178
257,3603,54,116.703
258,55,56,57.474
259,56,55,57.474
260,55,2747,224.157
261,2747,55,224.157
262,9571,55,175.539
263,55,9571,175.539
264,56,57,8.831
265,57,56,8.831
266,56,3968,55.773
267,3968,56,55.773
