section_id,s_node,e_node,length,direction
0,0,9114,3562.368,0
1,7965,0,76.898,0
2,8723,0,351.79500000000013,0
3,1,7574,293.54,0
4,1,9509,754.592,0
5,9512,1,752.0059999999999,0
6,2,4778,1196.6650000000004,0
7,2,7901,1176.4899999999998,0
8,7895,2,92.14399999999999,0
9,3,8380,20.253,0
10,3,9696,12.52,1
11,9696,3,12.52,1
12,3,9685,30.791,0
13,1352,3,283.065,0
14,9694,3,62.381,0
15,4,763,75.108,1
16,763,4,75.108,1
17,5,7,101.12,1
18,7,5,101.12,1
19,7582,5,46.646,1
20,5,7582,46.646,1
21,5,7383,141.32099999999997,0
22,7970,5,146.468,0
23,7,6,146.52,1
24,6,7,146.52,1
25,6,8376,146.56900000000005,1
26,8376,6,146.56900000000005,1
27,6,7970,101.335,1
28,7970,6,101.335,1
29,7,7454,212.05599999999998,1
30,7454,7,212.05599999999998,1
31,7,9502,141.30599999999995,1
32,9502,7,141.30599999999995,1
33,8,7384,19.164,0
34,8,7479,100.75399999999999,0
35,1736,8,46.775,0
36,7476,8,139.178,0
37,9,7476,108.454,0
38,7478,9,104.625,1
39,9,7478,104.625,1
40,10,9,47.538000000000004,1
41,9,10,47.538000000000004,1
42,11,10,205.42700000000002,1
43,10,11,205.42700000000002,1
44,156,10,115.935,0
45,11,12,113.397,1
46,12,11,113.397,1
47,8615,11,213.016,1
48,11,8615,213.016,1
49,156,12,206.74599999999998,1
50,12,156,206.74599999999998,1
51,12,7480,138.80100000000002,1
52,7480,12,138.80100000000002,1
53,13,14,147.026,0
54,13,1356,52.161,1
55,1356,13,52.161,1
56,2017,13,53.631,1
57,13,2017,53.631,1
58,14,1357,53.765,1
59,1357,14,53.765,1
60,2018,14,52.592,1
61,14,2018,52.592,1
62,15,16,74.131,1
63,16,15,74.131,1
64,16,800,204.35,1
65,800,16,204.35,1
66,7954,16,127.971,1
67,16,7954,127.971,1
68,17,803,191.95,1
69,803,17,191.95,1
70,804,18,280.743,1
71,18,804,280.743,1
72,18,805,200.52700000000002,1
73,805,18,200.52700000000002,1
74,18,19,86.43900000000002,1
75,19,18,86.43900000000002,1
76,18,5419,40.42,0
77,2328,19,341.2150000000001,1
78,19,2328,341.2150000000001,1
79,19,806,200.342,1
80,806,19,200.342,1
81,19,20,83.00999999999998,1
82,20,19,83.00999999999998,1
83,20,807,200.69099999999997,1
84,807,20,200.69099999999997,1
85,20,21,86.00200000000002,1
86,21,20,86.00200000000002,1
87,6511,20,62.946999999999996,1
88,20,6511,62.946999999999996,1
89,21,7740,66.131,1
90,7740,21,66.131,1
91,21,1795,100.15,1
92,1795,21,100.15,1
93,2602,21,203.572,1
94,21,2602,203.572,1
95,7740,22,6.946000000000001,1
96,22,7740,6.946000000000001,1
97,22,59,207.24,1
98,59,22,207.24,1
99,60,22,87.99,1
100,22,60,87.99,1
101,9207,22,75.03099999999998,1
102,22,9207,75.03099999999998,1
103,23,24,85.462,1
104,24,23,85.462,1
105,23,791,202.12,1
106,791,23,202.12,1
107,6368,23,166.612,1
108,23,6368,166.612,1
109,24,25,85.321,1
110,25,24,85.321,1
111,24,792,202.25600000000003,1
112,792,24,202.25600000000003,1
113,2229,24,44.75899999999999,1
114,24,2229,44.75899999999999,1
115,25,26,85.411,1
116,26,25,85.411,1
117,25,793,202.329,1
118,793,25,202.329,1
119,4118,25,34.418,1
120,25,4118,34.418,1
121,26,27,85.46300000000002,1
122,27,26,85.46300000000002,1
123,26,794,202.53900000000002,1
124,794,26,202.53900000000002,1
125,5965,26,202.54,1
126,26,5965,202.54,1
127,1259,27,202.607,1
128,27,1259,202.607,1
129,27,795,202.611,1
130,795,27,202.611,1
131,28,797,184.47299999999998,1
132,797,28,184.47299999999998,1
133,29,30,88.69300000000001,1
134,30,29,88.69300000000001,1
135,29,9472,102.411,1
136,9472,29,102.411,1
137,2413,29,543.195,1
138,29,2413,543.195,1
139,30,5061,75.727,1
140,5061,30,75.727,1
141,9472,30,79.803,1
142,30,9472,79.803,1
143,31,8661,154.304,1
144,8661,31,154.304,1
145,3232,31,87.51799999999999,1
146,31,3232,87.51799999999999,1
147,31,4347,124.84100000000001,1
148,4347,31,124.84100000000001,1
149,8661,32,11.125,1
150,32,8661,11.125,1
151,5675,32,189.385,1
152,32,5675,189.385,1
153,33,32,34.089,1
154,32,33,34.089,1
155,33,34,189.765,1
156,34,33,189.765,1
157,33,5905,285.762,1
158,5905,33,285.762,1
159,35,36,207.334,1
160,36,35,207.334,1
161,35,5372,93.82600000000001,1
162,5372,35,93.82600000000001,1
163,5905,35,97.23700000000001,1
164,35,5905,97.23700000000001,1
165,1490,36,159.245,1
166,36,1490,159.245,1
167,36,8983,6.8889999999999985,1
168,8983,36,6.8889999999999985,1
169,37,37,69.604,1
170,540,37,94.235,1
171,37,540,94.235,1
172,37,541,94.42200000000001,1
173,541,37,94.42200000000001,1
174,37,38,207.301,1
175,38,37,207.301,1
176,38,39,208.047,1
177,39,38,208.047,1
178,38,1213,94.45200000000001,1
179,1213,38,94.45200000000001,1
180,1212,38,94.28399999999999,1
181,38,1212,94.28399999999999,1
182,39,5369,94.48200000000001,1
183,5369,39,94.48200000000001,1
184,6146,39,94.32,1
185,39,6146,94.32,1
186,39,6831,207.37900000000002,1
187,6831,39,207.37900000000002,1
188,40,2686,94.538,1
189,2686,40,94.538,1
190,2685,40,94.415,1
191,40,2685,94.415,1
192,40,41,208.226,1
193,41,40,208.226,1
194,6874,40,207.58,1
195,40,6874,207.58,1
196,5869,41,94.461,1
197,41,5869,94.461,1
198,41,5370,94.573,1
199,5370,41,94.573,1
200,41,42,207.59099999999998,1
201,42,41,207.59099999999998,1
202,42,5371,94.595,1
203,5371,42,94.595,1
204,6532,42,94.516,1
205,42,6532,94.516,1
206,42,8859,208.025,1
207,8859,42,208.025,1
208,43,44,82.57600000000001,1
209,44,43,82.57600000000001,1
210,44,45,81.807,1
211,45,44,81.807,1
212,5844,44,176.519,1
213,44,5844,176.519,1
214,6494,45,27.467,1
215,45,6494,27.467,1
216,45,5365,94.273,1
217,5365,45,94.273,1
218,46,6947,10.056000000000001,1
219,6947,46,10.056000000000001,1
220,46,2163,94.09700000000001,0
221,2162,46,94.493,0
222,47,7698,200.62,1
223,7698,47,200.62,1
224,6947,47,204.514,1
225,47,6947,204.514,1
226,47,5366,94.23100000000001,1
227,5366,47,94.23100000000001,1
228,6113,47,94.363,1
229,47,6113,94.363,1
230,48,5367,94.271,1
231,5367,48,94.271,1
232,6533,48,94.331,1
233,48,6533,94.331,1
234,48,49,207.873,1
235,49,48,207.873,1
236,7091,48,200.59,1
237,48,7091,200.59,1
238,49,50,207.61700000000002,1
239,50,49,207.61700000000002,1
240,49,1026,94.337,1
241,1026,49,94.337,1
