section_id,s_node,e_node,length,direction,interval
0,0,9114,3562.368,0,0.912483811378479
1,7965,0,76.898,0,0.23561856150627136
2,8723,0,351.79500000000013,0,0.12771865725517273
3,1,7574,293.54,0,0.0
4,1,9509,754.592,0,0.018477141857147217
5,9512,1,752.0059999999999,0,0.09405522048473358
6,2,4778,1196.6650000000004,0,0.0
7,2,7901,1176.4899999999998,0,0.13575264811515808
8,7895,2,92.144,0,0.06802891194820404
9,3,8380,20.253,0,0.0
10,3,9696,12.52,1,0.0
11,9696,3,12.52,1,0.1699618250131607
12,3,9685,30.791,0,0.0
13,1352,3,283.065,0,0.0
14,9694,3,62.381,0,0.33287012577056885
15,4,763,75.108,1,0.17207786440849304
16,763,4,75.108,1,0.1586136817932129
17,5,7,101.12,1,0.0
18,7,5,101.12,1,0.0
19,7582,5,46.646,1,0.16195431351661682
20,5,7582,46.646,1,0.0
21,5,7383,141.32099999999997,0,0.0
22,7970,5,146.468,0,0.0
23,7,6,146.52,1,0.0
24,6,7,146.52,1,0.0
25,6,8376,146.56900000000005,1,0.0
26,8376,6,146.56900000000005,1,0.0
27,6,7970,101.335,1,0.0
28,7970,6,101.335,1,0.0
29,7,7454,212.056,1,0.12329676747322083
30,7454,7,212.056,1,0.0
31,7,9502,141.30599999999995,1,0.0
32,9502,7,141.30599999999995,1,0.0
33,8,7384,19.164,0,0.16025345027446747
34,8,7479,100.754,0,0.1806637942790985
35,1736,8,46.775,0,0.0
36,7476,8,139.178,0,0.14747966825962067
37,9,7476,108.454,0,0.15893810987472534
38,7478,9,104.625,1,0.11476579308509827
39,9,7478,104.625,1,0.04190979152917862
40,10,9,47.538,1,0.0
41,9,10,47.538,1,0.0
42,11,10,205.427,1,0.13471581041812897
43,10,11,205.427,1,0.0
44,156,10,115.935,0,0.0
45,11,12,113.397,1,0.14122481644153595
46,12,11,113.397,1,0.0
47,8615,11,213.016,1,0.0
48,11,8615,213.016,1,0.12225185334682465
49,156,12,206.746,1,0.0
50,12,156,206.746,1,0.0
51,12,7480,138.80100000000002,1,0.0
52,7480,12,138.80100000000002,1,0.0
53,13,14,147.026,0,0.008624646812677383
54,13,1356,52.161,1,0.0
55,1356,13,52.161,1,0.09656965732574463
56,2017,13,53.631,1,0.3424604535102844
57,13,2017,53.631,1,0.0
58,14,1357,53.765,1,0.0
59,1357,14,53.765,1,0.12821078300476074
60,2018,14,52.592,1,0.0
61,14,2018,52.592,1,0.0
62,15,16,74.131,1,0.0
63,16,15,74.131,1,0.0
64,16,800,204.35,1,0.0
65,800,16,204.35,1,0.0
66,7954,16,127.971,1,0.0
67,16,7954,127.971,1,0.0
68,17,803,191.95,1,0.0
69,803,17,191.95,1,0.30104562640190125
70,804,18,280.743,1,0.18000662326812744
71,18,804,280.743,1,0.03292267769575119
72,18,805,200.527,1,0.0
73,805,18,200.527,1,0.0
74,18,19,86.43900000000002,1,0.0
75,19,18,86.43900000000002,1,0.3183247745037079
76,18,5419,40.42,0,0.02666410058736801
77,2328,19,341.2150000000001,1,0.07098926603794098
78,19,2328,341.2150000000001,1,0.07828757911920547
79,19,806,200.342,1,0.2938215136528015
80,806,19,200.342,1,0.0
81,19,20,83.00999999999998,1,0.0
82,20,19,83.00999999999998,1,0.0
83,20,807,200.691,1,0.0
84,807,20,200.691,1,0.3593471050262451
85,20,21,86.00200000000002,1,0.0
86,21,20,86.00200000000002,1,0.26289695501327515
87,6511,20,62.947,1,0.0
88,20,6511,62.947,1,0.0
